blockNo,trialNo,prop,qty,startPrice,endPrice,step,oppBid,price,winner
0,0,0.105,63,47.01092161,0,4,44.86839038,44.86839038,Gladys  
0,1,0.203333333,122,105.8443871,0,5,100.3183133,100.3183133,Gladys  
0,2,0.101666667,61,50.67644067,0,68,15.92059443,15.92059443,Gladys  
0,3,0.213333333,128,147.3705337,0,43,82.9044906,82.9044906,Gladys  
0,4,0.103333333,62,42.15202283,0,67,7.328869928,13.91016753,P25
0,5,0.113333333,68,86.46548321,0,92,5.027626977,6.917238657,P25
0,6,0.233333333,140,126.7983555,0,55,55.92836536,55.92836536,Gladys  
0,7,0.14,84,47.89396777,0,69,14.68038738,14.68038738,Gladys  
0,8,0.098333333,59,57.83909724,0,23,44.433256,44.433256,Gladys  
0,9,0.098333333,59,63.88897028,0,33,42.400791,42.400791,Gladys  
0,10,0.201666667,121,66.30734804,0,66,12.33895317,22.54449833,P25
0,11,0.18,108,137.0835816,0,4,39.30896238,130.2294025,P25
1,0,0.213333333,128,116.1228929,0,51,13.8102378,56.90021752,P25
1,1,0.226666667,136,68.8388824,0,9,62.24510136,62.24510136,Gladys  
1,2,0.175,105,65.6349325,0,21,6.467691948,51.85159667,P25
1,3,0.121666667,73,75.4023823,0,39,45.47791106,45.47791106,Gladys  
1,4,0.085,51,27.83596496,0,13,24.00615608,24.00615608,Gladys  
1,5,0.105,63,91.2951453,0,79,18.79829103,18.79829103,Gladys  
1,6,0.105,63,81.25235537,0,80,10.04461713,15.43794752,P25
1,7,0.161666667,97,50.91333215,0,4,48.41623259,48.41623259,Gladys  
1,8,0.173333333,104,155.580873,0,53,31.83145898,73.12301031,P25
1,9,0.085,51,50.80991475,0,49,1.902716751,25.91305652,P25
1,10,0.175,105,64.99920619,0,50,14.31890507,32.4996031,P25
1,11,0.211666667,127,116.4362767,0,22,1.906975834,90.82029583,P25
2,0,0.216666667,130,103.0845815,0,42,3.633929383,59.78905728,P25
2,1,0.088333333,53,67.61245424,0,33,44.80362331,44.80362331,Gladys  
2,2,0.16,96,138.3462655,0,32,93.41062365,93.41062365,Gladys  
2,3,0.1,60,89.52501608,0,12,78.08407256,78.08407256,Gladys  
2,4,0.1,60,49.42719686,0,20,39.09979328,39.09979328,Gladys  
2,5,0.22,132,67.73404128,0,69,14.32369374,20.9975528,P25
2,6,0.083333333,50,57.72123462,0,15,48.84169942,48.84169942,Gladys  
2,7,0.195,117,161.940003,0,65,43.84669321,56.67900104,P25
2,8,0.233333333,140,148.1497766,0,27,106.9395919,106.9395919,Gladys  
2,9,0.143333333,86,80.85989103,0,42,46.60987599,46.60987599,Gladys  
2,10,0.15,90,92.25182361,0,18,47.05961735,75.64649536,P25
2,11,0.181666667,109,61.02243846,0,2,52.21257051,59.1917653,P25
3,0,0.091666667,55,75.26122936,0,7,69.50476906,69.50476906,Gladys  
3,1,0.088333333,53,52.16968658,0,22,11.73756634,40.17065866,P25
3,2,0.09,54,70.79842192,0,49,12.44451383,36.10719518,P25
3,3,0.16,96,95.39433059,0,49,39.5375113,48.6511086,P25
3,4,0.161666667,97,89.80866318,0,51,0.844157427,44.00624496,P25
3,5,0.211666667,127,118.2278297,0,27,85.47671459,85.47671459,Gladys  
3,6,0.173333333,104,94.81214445,0,58,17.75528634,39.82110067,P25
3,7,0.118333333,71,55.36042729,0,34,36.3207669,36.3207669,Gladys  
3,8,0.126666667,76,95.04619052,0,54,4.205562022,43.72124764,P25
3,9,0.131666667,79,95.06698751,0,68,14.85544925,30.421436,P25
3,10,0.105,63,82.1038734,0,71,3.145135635,23.81012329,P25
3,11,0.21,126,143.6377853,0,23,109.2776738,109.2776738,Gladys  
4,0,0.1,60,47.85681705,0,77,5.908359275,11.00706792,P25
4,1,0.101666667,61,90.01207331,0,4,85.67961709,85.67961709,Gladys  
4,2,0.09,54,75.64350957,0,67,14.72416392,24.96235816,P25
4,3,0.086666667,52,48.19632432,0,50,8.658686707,24.09816216,P25
4,4,0.19,114,143.1102723,0,67,38.57855653,45.79528714,P25
4,5,0.221666667,133,94.68127108,0,26,69.56587495,69.56587495,Gladys  
4,6,0.118333333,71,58.59316447,0,47,27.86733615,31.05437717,P25
4,7,0.166666667,100,106.7872102,0,62,21.17943212,40.57913989,P25
4,8,0.175,105,70.89469467,0,24,28.80897778,53.17102101,P25
4,9,0.148333333,89,101.2751066,0,34,66.42873784,66.42873784,Gladys  
4,10,0.113333333,68,68.46914004,0,32,32.60160691,46.55901523,P25
4,11,0.1,60,68.13619131,0,0,2.96346987,68.13619131,P25
5,0,0.208333333,125,78.72834199,0,42,38.13685783,44.87515493,P25
5,1,0.133333333,80,48.36376758,0,42,1.348144858,28.0509852,P25
5,2,0.176666667,106,71.84105268,0,8,65.61903509,65.61903509,Gladys  
5,3,0.158333333,95,94.4325901,0,61,8.153237037,36.82871014,P25
5,4,0.218333333,131,102.0422053,0,45,13.4019804,56.1232129,P25
5,5,0.101666667,61,87.88737415,0,46,47.17905305,47.17905305,Gladys  
5,6,0.198333333,119,63.05003549,0,36,9.824007485,40.35202271,P25
5,7,0.161666667,97,78.66883792,0,5,74.60878058,74.60878058,Gladys  
5,8,0.13,78,86.12168897,0,48,33.55065276,44.78327826,P25
5,9,0.195,117,119.4558553,0,19,95.35359588,96.75924275,P25
5,10,0.108333333,65,69.4225687,0,77,15.80238202,15.80238202,Gladys  
5,11,0.115,69,61.06309465,0,26,44.83779744,44.83779744,Gladys  
