blockNo,trialNo,prop,qty,startPrice,endPrice,step,oppBid,price,winner
0,0,0.216666667,130,154.1158477,0,32,103.5867234,103.5867234,Gladys  
0,1,0.245,147,113.6543417,0,31,59.13207264,78.4214958,P24
0,2,0.145,87,82.81216485,0,21,64.79888657,64.79888657,Gladys  
0,3,0.098333333,59,66.00423384,0,39,7.246157398,40.26258264,P24
0,4,0.118333333,71,91.89642439,0,15,77.44118543,77.44118543,Gladys  
0,5,0.146666667,88,99.72687744,0,6,92.95674508,92.95674508,Gladys  
0,6,0.223333333,134,96.52582423,0,22,47.16043474,75.2901429,P24
0,7,0.208333333,125,158.9607224,0,51,77.28907691,77.28907691,Gladys  
0,8,0.14,84,84.62110909,0,38,29.51044966,52.46508763,P24
0,9,0.173333333,104,116.5487404,0,35,68.23562678,74.59119386,P24
0,10,0.193333333,116,136.9816402,0,84,3.994175233,21.91706244,P24
0,11,0.161666667,97,96.78957194,0,75,23.97691847,23.97691847,Gladys  
1,0,0.22,132,146.681623,0,58,29.6828192,60.13946544,P24
1,1,0.195,117,94.35375622,0,56,41.39500589,41.39500589,Gladys  
1,2,0.168333333,101,63.67606275,0,33,42.45427309,42.45427309,Gladys  
1,3,0.236666667,142,173.119269,0,57,57.19013396,74.44128567,P24
1,4,0.1,60,53.92069551,0,32,6.152414051,36.66607295,P24
1,5,0.1,60,54.69483223,0,60,1.561445917,21.87793289,P24
1,6,0.166666667,100,127.2055234,0,68,40.39026921,40.39026921,Gladys  
1,7,0.216666667,130,181.1842817,0,71,7.212124894,52.54344168,P24
1,8,0.193333333,116,151.7327488,0,9,137.2626916,137.2626916,Gladys  
1,9,0.113333333,68,41.21948944,0,20,23.23100913,32.97559155,P24
1,10,0.116666667,70,68.68957021,0,4,65.64552219,65.64552219,Gladys  
1,11,0.211666667,127,171.4481549,0,61,11.7403837,65.15029887,P24
2,0,0.171666667,103,93.84643383,0,34,61.17221924,61.17221924,Gladys  
2,1,0.09,54,77.32771937,0,11,68.05071594,68.05071594,Gladys  
2,2,0.091666667,55,54.86666414,0,21,42.88797497,42.88797497,Gladys  
2,3,0.156666667,94,127.3685915,0,34,82.85496232,82.85496232,Gladys  
2,4,0.205,123,65.27505463,0,4,62.16110785,62.16110785,Gladys  
2,5,0.226666667,136,151.8141842,0,43,83.66366701,85.01594317,P24
2,6,0.103333333,62,54.62343962,0,29,1.24659767,38.78264213,P24
2,7,0.095,57,59.66702693,0,49,21.22583959,30.43018373,P24
2,8,0.153333333,92,97.54079406,0,51,44.91328949,47.79498909,P24
2,9,0.198333333,119,62.20903712,0,10,55.41401135,55.41401135,Gladys  
2,10,0.096666667,58,77.0697785,0,27,27.27375439,56.2609383,P24
2,11,0.093333333,56,77.10509053,0,35,49.96359256,49.96359256,Gladys  
3,0,0.123333333,74,100.1960706,0,26,43.19129238,74.14509224,P24
3,1,0.143333333,86,101.8585018,0,35,47.71129125,65.18944116,P24
3,2,0.085,51,74.04914755,0,46,39.91887152,39.91887152,Gladys  
3,3,0.228333333,137,166.1179172,0,62,44.80344971,63.12480853,P24
3,4,0.171666667,103,82.94061875,0,10,73.90344615,73.90344615,Gladys  
3,5,0.193333333,116,59.69365183,0,46,30.86883139,31.63763547,P24
3,6,0.138333333,83,64.91308455,0,49,21.53167283,33.10567312,P24
3,7,0.211666667,127,76.89488457,0,6,71.82506182,71.82506182,Gladys  
3,8,0.163333333,98,95.16783331,0,48,26.46246244,49.48727332,P24
3,9,0.106666667,64,78.636672,0,10,70.73061456,70.73061456,Gladys  
3,10,0.101666667,61,91.19559668,0,88,6.501964051,10.9434716,P24
3,11,0.135,81,44.14918667,0,53,10.96950198,20.75011773,P24
4,0,0.16,96,93.8877845,0,36,17.01511999,60.08818208,P24
4,1,0.096666667,58,35.56596409,0,35,9.772758476,23.11787666,P24
4,2,0.14,84,42.43913491,0,19,34.0820789,34.0820789,Gladys  
4,3,0.223333333,134,91.83352819,0,48,2.124319422,47.75343466,P24
4,4,0.245,147,123.296174,0,35,79.7829201,79.7829201,Gladys  
4,5,0.211666667,127,82.20549555,0,22,63.38534281,63.38534281,Gladys  
4,6,0.085,51,53.39266603,0,41,3.492851345,31.50167296,P24
4,7,0.198333333,119,131.768124,0,58,52.89614302,55.34261208,P24
4,8,0.238333333,143,121.5723016,0,55,19.19834676,54.70753571,P24
4,9,0.091666667,55,78.14120497,0,63,3.746725676,28.91224584,P24
4,10,0.208333333,125,120.6016201,0,36,76.23858189,76.23858189,Gladys  
4,11,0.223333333,134,194.9264408,0,57,81.97500417,81.97500417,Gladys  
5,0,0.186666667,112,126.8665791,0,57,18.67639465,54.55262901,P24
5,1,0.221666667,133,163.6097114,0,47,85.95615884,85.95615884,Gladys  
5,2,0.241666667,145,182.6955052,0,74,34.63674952,47.50083135,P24
5,3,0.155,93,47.42852706,0,26,34.6724546,34.6724546,Gladys  
5,4,0.223333333,134,83.36248558,0,61,8.837341594,32.51136938,P24
5,5,0.205,123,182.5043664,0,69,35.64882287,56.57635359,P24
5,6,0.186666667,112,111.6542051,0,19,90.05357284,90.05357284,Gladys  
5,7,0.23,138,152.0915541,0,14,130.5967468,130.5967468,Gladys  
5,8,0.165,99,146.3760878,0,72,38.83445746,40.9853046,P24
5,9,0.095,57,39.53823074,0,20,31.49613419,31.49613419,Gladys  
5,10,0.206666667,124,184.4648862,0,58,75.9195194,75.9195194,Gladys  
5,11,0.215,129,181.1519832,0,41,19.62998364,105.0681503,P24
