blockNo,trialNo,prop,qty,startPrice,endPrice,step,oppBid,price,winner
0,0,0.211666667,127,165.9060137,0,72,45.14656647,45.14656647,Gladys  
0,1,0.226666667,136,122.4631836,0,57,37.7769682,52.65916894,P23
0,2,0.13,78,92.61761462,0,22,71.50718026,71.50718026,Gladys  
0,3,0.193333333,116,152.9524617,0,47,81.05814744,81.05814744,Gladys  
0,4,0.126666667,76,99.22796729,0,78,21.10094383,21.10094383,Gladys  
0,5,0.131666667,79,48.20491878,0,57,12.03710734,20.72811508,P23
0,6,0.18,108,156.1914453,0,44,86.5903682,86.5903682,Gladys  
0,7,0.098333333,59,67.58664351,0,57,28.63286496,28.63286496,Gladys  
0,8,0.11,66,37.76727666,0,10,33.80045092,33.80045092,Gladys  
0,9,0.201666667,121,64.2288491,0,32,41.21611123,43.0333289,P23
0,10,0.191666667,115,103.0514895,0,48,6.085460994,53.58677453,P23
0,11,0.155,93,130.6398487,0,1,16.3703653,128.0270518,P23
1,0,0.23,138,69.87728816,0,27,41.27552919,51.01042036,P23
1,1,0.2,120,99.47581053,0,32,67.51541635,67.51541635,Gladys  
1,2,0.095,57,52.50245676,0,24,39.4364478,39.4364478,Gladys  
1,3,0.203333333,122,178.2351897,0,66,6.510449231,60.5999645,P23
1,4,0.186666667,112,149.4160936,0,11,131.8421422,131.8421422,Gladys  
1,5,0.1,60,75.05371947,0,90,7.441943792,7.441943792,Gladys  
1,6,0.1,60,57.86228281,0,62,2.532534296,21.98766747,P23
1,7,0.103333333,62,61.99817117,0,26,45.42804472,45.42804472,Gladys  
1,8,0.176666667,106,59.77908231,0,22,34.13248436,46.02989338,P23
1,9,0.246666667,148,211.3065137,0,57,62.07176378,88.74873576,P23
1,10,0.24,144,79.97515782,0,2,43.49063765,78.37565467,P23
1,11,0.198333333,119,132.9090465,0,85,18.80409858,18.80409858,Gladys  
2,0,0.193333333,116,131.4464781,0,64,26.87265528,47.3207321,P23
2,1,0.171666667,103,71.16576774,0,35,45.93926387,45.93926387,Gladys  
2,2,0.206666667,124,166.1210501,0,71,47.47175317,47.47175317,Gladys  
2,3,0.106666667,64,76.50920551,0,68,7.676973673,24.48294576,P23
2,4,0.186666667,112,58.10149747,0,15,49.35481902,49.35481902,Gladys  
2,5,0.21,126,76.88228178,0,9,69.57090323,69.57090323,Gladys  
2,6,0.19,114,135.7444807,0,11,120.036887,120.036887,Gladys  
2,7,0.168333333,101,126.2590766,0,21,99.16471698,99.16471698,Gladys  
2,8,0.246666667,148,92.16231562,0,7,28.68221196,84.78933037,P23
2,9,0.088333333,53,32.57706101,0,7,30.09311139,30.09311139,Gladys  
2,10,0.095,57,28.72041329,0,6,25.38962113,26.99718849,P23
2,11,0.096666667,58,57.83351668,0,0,47.39638288,57.83351668,P23
3,0,0.206666667,124,127.5790565,0,14,109.3702011,109.3702011,Gladys  
3,1,0.143333333,86,95.55853446,0,4,42.29216988,90.78060774,P23
3,2,0.23,138,182.0489535,0,39,110.7063373,110.7063373,Gladys  
3,3,0.175,105,139.3244269,0,46,42.33961481,75.23519053,P23
3,4,0.165,99,75.04082096,0,18,12.79701798,61.53347319,P23
3,5,0.118333333,71,52.74302819,0,31,4.712770609,36.39268945,P23
3,6,0.09,54,34.79287619,0,46,1.43279159,18.78815314,P23
3,7,0.213333333,128,83.76767591,0,36,22.9987109,53.61131258,P23
3,8,0.228333333,137,151.8713275,0,79,31.62970017,31.62970017,Gladys  
3,9,0.118333333,71,72.49632139,0,67,23.45844804,23.45844804,Gladys  
3,10,0.191666667,115,74.42391237,0,70,22.221424,22.221424,Gladys  
3,11,0.13,78,45.96328875,0,71,11.37862117,13.32935374,P23
4,0,0.195,117,107.4326097,0,64,38.11915952,38.11915952,Gladys  
4,1,0.223333333,134,80.20209414,0,17,66.56093974,66.56093974,Gladys  
4,2,0.238333333,143,163.2926887,0,61,62.10101062,62.10101062,Gladys  
4,3,0.201666667,121,74.21600006,0,39,4.378093474,45.27176003,P23
4,4,0.098333333,59,74.84953278,0,54,34.40447216,34.40447216,Gladys  
4,5,0.14,84,110.9575601,0,23,84.83630823,84.83630823,Gladys  
4,6,0.228333333,137,114.7358024,0,1,112.925634,112.925634,Gladys  
4,7,0.15,90,114.6790438,0,58,47.04506242,47.04506242,Gladys  
4,8,0.243333333,146,78.60382348,0,24,59.58575861,59.58575861,Gladys  
4,9,0.098333333,59,46.69454558,0,53,15.48551438,21.94643642,P23
4,10,0.115,69,84.49574243,0,56,27.61532074,37.17812667,P23
4,11,0.163333333,98,59.0044353,0,6,35.00402442,55.46416918,P23
5,0,0.161666667,97,105.5950967,0,51,14.4681819,51.74159737,P23
5,1,0.231666667,139,198.0042009,0,69,57.79336485,61.38130227,P23
5,2,0.22,132,156.1767718,0,43,87.79097748,87.79097748,Gladys  
5,3,0.091666667,55,77.78298745,0,70,22.91527047,22.91527047,Gladys  
5,4,0.243333333,146,139.6919327,0,19,112.3667343,112.3667343,Gladys  
5,5,0.133333333,80,64.74869926,0,48,27.64049491,33.66932362,P23
5,6,0.21,126,171.2482937,0,57,73.06507042,73.06507042,Gladys  
5,7,0.098333333,59,55.52285189,0,61,0.108961637,21.65391224,P23
5,8,0.243333333,146,77.55801055,0,39,22.78387917,47.31038643,P23
5,9,0.151666667,91,75.40825981,0,55,26.75151854,33.93371692,P23
5,10,0.226666667,136,69.56731556,0,0,38.69129066,68.87164241,P23
5,11,0.091666667,55,32.93868727,0,46,17.48586712,17.48586712,Gladys  
