blockNo,trialNo,prop,qty,startPrice,endPrice,step,oppBid,price,winner
0,0,0.211666667,127,161.5740204,0,44,88.20413054,88.8657112,P31
0,1,0.161666667,97,93.95486836,0,24,10.67331792,71.40569995,P31
0,2,0.213333333,128,100.7899683,0,24,24.55172522,76.60037592,P31
0,3,0.238333333,143,101.0207217,0,12,88.83700947,88.83700947,Gladys  
0,4,0.238333333,143,137.4546804,0,38,38.7017526,85.22190184,P31
0,5,0.21,126,139.624593,0,85,20.87867519,20.87867519,Gladys  
0,6,0.163333333,98,74.23074181,0,12,65.28332123,65.28332123,Gladys  
0,7,0.215,129,183.9217507,0,47,96.88392557,96.88392557,Gladys  
0,8,0.155,93,81.72565965,0,65,28.09571486,28.09571486,Gladys  
0,9,0.18,108,95.62853797,0,46,51.25255725,51.25255725,Gladys  
0,10,0.19,114,108.4454641,0,73,28.99370107,28.99370107,Gladys  
0,11,0.203333333,122,88.0874438,0,45,48.19870495,48.19870495,Gladys  
1,0,0.133333333,80,58.24947879,0,21,0.081624883,46.01708825,P31
1,1,0.101666667,61,58.58735587,0,32,39.40950868,39.40950868,Gladys  
1,2,0.223333333,134,137.3928933,0,15,116.0828829,116.0828829,Gladys  
1,3,0.24,144,207.3111518,0,64,50.32963007,74.63201465,P31
1,4,0.123333333,74,73.58574768,0,40,43.61533979,43.61533979,Gladys  
1,5,0.236666667,142,89.01877579,0,12,46.23734874,78.3365227,P31
1,6,0.17,102,99.8965722,0,29,70.66841816,70.66841816,Gladys  
1,7,0.141666667,85,120.773127,0,37,58.75108888,76.08707001,P31
1,8,0.095,57,43.12506388,0,53,19.96932736,19.96932736,Gladys  
1,9,0.168333333,101,122.7626985,0,67,11.14421925,40.51169052,P31
1,10,0.236666667,142,143.2297215,0,76,11.49283136,34.37513317,P31
1,11,0.131666667,79,113.6111923,0,28,81.30722723,81.30722723,Gladys  
2,0,0.118333333,71,53.19256634,0,7,49.25977597,49.25977597,Gladys  
2,1,0.173333333,104,129.9857152,0,53,29.7858152,61.09328615,P31
2,2,0.185,111,102.2566867,0,43,17.80716767,58.28631142,P31
2,3,0.211666667,127,99.22966849,0,38,55.76152449,61.52239446,P31
2,4,0.203333333,122,77.54811254,0,29,54.45126879,54.45126879,Gladys  
2,5,0.096666667,58,52.48026946,0,0,52.26365821,52.26365821,Gladys  
2,6,0.178333333,107,79.76187832,0,44,0.600843849,44.66665186,P31
2,7,0.1,60,86.29420882,0,48,44.35740073,44.35740073,Gladys  
2,8,0.166666667,100,134.0515509,0,50,38.23206124,67.02577547,P31
2,9,0.101666667,61,78.16333826,0,68,24.23222626,24.23222626,Gladys  
2,10,0.1,60,81.189837,0,25,60.29368012,60.29368012,Gladys  
2,11,0.156666667,94,122.5057746,0,45,66.33135593,66.33135593,Gladys  
3,0,0.113333333,68,89.10740501,0,11,78.69858893,78.69858893,Gladys  
3,1,0.246666667,148,108.275177,0,4,103.832237,103.832237,Gladys  
3,2,0.166666667,100,119.4627505,0,21,90.35723065,93.18094536,P31
3,3,0.161666667,97,130.5608152,0,34,16.88928426,86.17013803,P31
3,4,0.138333333,83,43.8834087,0,10,39.15966051,39.15966051,Gladys  
3,5,0.13,78,81.41698517,0,62,30.82809958,30.82809958,Gladys  
3,6,0.125,75,98.92078116,0,48,26.8642161,51.4388062,P31
3,7,0.151666667,91,119.7575242,0,25,88.69682774,88.69682774,Gladys  
3,8,0.131666667,79,87.81843788,0,46,47.0275032,47.0275032,Gladys  
3,9,0.16,96,123.5370697,0,68,8.80024047,39.53186231,P31
3,10,0.085,51,36.39763764,0,39,1.223982942,22.20255896,P31
3,11,0.243333333,146,185.8932855,0,69,48.36047498,55.76798564,P31
4,0,0.113333333,68,84.05477143,0,21,66.39969176,66.39969176,Gladys  
4,1,0.09,54,68.60194763,0,10,61.41063633,61.41063633,Gladys  
4,2,0.095,57,63.56972052,0,2,61.83914228,61.83914228,Gladys  
4,3,0.166666667,100,61.38349098,0,7,16.96644008,57.08664661,P31
4,4,0.23,138,204.0499607,0,23,156.4647993,156.4647993,Gladys  
4,5,0.235,141,70.88641631,0,10,58.41182063,63.79777468,P31
4,6,0.173333333,104,104.9042082,0,25,78.63950419,78.63950419,Gladys  
4,7,0.088333333,53,72.66418639,0,23,55.69917792,55.69917792,Gladys  
4,8,0.133333333,80,100.1440599,0,22,38.02282026,78.11236673,P31
4,9,0.133333333,80,94.3616462,0,55,14.12997776,42.46274079,P31
4,10,0.2,120,86.63507426,0,14,74.30405547,74.30405547,Gladys  
4,11,0.165,99,75.18199812,0,0,19.42478473,75.18199812,P31
5,0,0.105,63,74.87517968,0,10,35.11839132,67.38766171,P31
5,1,0.106666667,64,65.36430324,0,24,49.35774408,49.35774408,Gladys  
5,2,0.15,90,91.49214777,0,32,27.04381022,62.21466048,P31
5,3,0.133333333,80,119.4256018,0,43,68.04724501,68.04724501,Gladys  
5,4,0.11,66,96.73662182,0,28,48.34955224,68.68300149,P31
5,5,0.198333333,119,62.14249096,0,20,47.60442858,49.09256786,P31
5,6,0.085,51,45.81084575,0,10,40.94065331,40.94065331,Gladys  
5,7,0.246666667,148,176.5754676,0,59,54.27408257,72.39594172,P31
5,8,0.24,144,211.9150027,0,0,210.3435428,210.3435428,Gladys  
5,9,0.156666667,94,126.1805388,0,33,83.59774294,83.59774294,Gladys  
5,10,0.101666667,61,63.22306756,0,3,61.13650766,61.13650766,Gladys  
5,11,0.143333333,86,109.8638124,0,57,46.77681081,46.77681081,Gladys  
