blockNo,trialNo,prop,qty,startPrice,endPrice,step,oppBid,price,winner
0,0,0.22,132,190.8455568,0,65,49.78914979,66.7959449,P34
0,1,0.19,114,122.0286685,0,57,52.41364586,52.41364586,Gladys  
0,2,0.173333333,104,115.0690913,0,10,102.8082775,102.8082775,Gladys  
0,3,0.171666667,103,116.3667316,0,0,115.5549723,115.5549723,Gladys  
0,4,0.235,141,163.5723032,0,64,28.34387551,58.88602915,P34
0,5,0.098333333,59,56.04623668,0,15,47.60850524,47.60850524,Gladys  
0,6,0.125,75,43.4422894,0,43,24.37460846,24.37460846,Gladys  
0,7,0.086666667,52,27.93500208,0,29,14.14990293,19.55450146,P34
0,8,0.246666667,148,199.2536115,0,8,181.5507087,181.5507087,Gladys  
0,9,0.206666667,124,158.7513054,0,20,126.0366329,126.0366329,Gladys  
0,10,0.21,126,97.11093379,0,7,67.60568517,90.31316842,P34
0,11,0.205,123,180.4644915,0,48,61.83536916,93.84153556,P34
1,0,0.243333333,146,94.73231068,0,12,28.94688294,82.41711029,P34
1,1,0.093333333,56,67.84494413,0,34,44.54464481,44.54464481,Gladys  
1,2,0.21,126,151.9679879,0,48,77.50591084,77.50591084,Gladys  
1,3,0.203333333,122,177.3074828,0,51,86.23172412,86.23172412,Gladys  
1,4,0.158333333,95,52.51309391,0,11,3.919357201,46.21152264,P34
1,5,0.21,126,161.6264014,0,64,50.95560635,58.18550449,P34
1,6,0.095,57,77.7982864,0,55,7.446574809,35.00922888,P34
1,7,0.148333333,89,106.2584718,0,52,41.84218594,51.00406648,P34
1,8,0.171666667,103,119.9347029,0,56,52.02581648,52.02581648,Gladys  
1,9,0.145,87,89.70622568,0,53,28.47720024,42.16192607,P34
1,10,0.233333333,140,165.5106323,0,22,128.8255156,128.8255156,Gladys  
1,11,0.126666667,76,104.9455084,0,59,42.16352427,42.16352427,Gladys  
2,0,0.241666667,145,157.0540037,0,77,33.16631498,34.55188082,P34
2,1,0.17,102,115.8409436,0,21,90.47987933,90.47987933,Gladys  
2,2,0.241666667,145,190.7994047,0,23,145.559627,145.559627,Gladys  
2,3,0.205,123,181.6080526,0,11,161.321997,161.321997,Gladys  
2,4,0.238333333,143,118.8154412,0,43,67.50443039,67.50443039,Gladys  
2,5,0.185,111,135.997578,0,53,11.78675266,62.55888589,P34
2,6,0.213333333,128,155.8273011,0,71,37.99589832,45.18991732,P34
2,7,0.09,54,57.88456861,0,5,54.6726456,54.6726456,Gladys  
2,8,0.171666667,103,74.44083958,0,24,52.01189973,55.83062968,P34
2,9,0.22,132,195.7813263,0,55,58.10992826,88.10159683,P34
2,10,0.128333333,77,57.18488543,0,5,16.16028543,53.75379231,P34
2,11,0.206666667,124,78.86417227,0,54,35.76979041,35.76979041,Gladys  
3,0,0.228333333,137,195.3213584,0,11,173.3523441,173.3523441,Gladys  
3,1,0.121666667,73,75.60746758,0,63,19.00595988,27.974763,P34
3,2,0.101666667,61,59.02590738,0,58,3.31769168,24.7908811,P34
3,3,0.183333333,110,144.0430209,0,73,35.40155257,37.45118544,P34
3,4,0.091666667,55,71.81847993,0,12,62.97336608,62.97336608,Gladys  
3,5,0.178333333,107,141.8657127,0,40,84.53700843,84.53700843,Gladys  
3,6,0.113333333,68,90.13855058,0,1,88.50083902,88.50083902,Gladys  
3,7,0.231666667,139,114.6532736,0,36,59.48430852,73.37809508,P34
3,8,0.135,81,118.5100071,0,16,98.65677712,98.65677712,Gladys  
3,9,0.235,141,152.8424275,0,23,117.2264151,117.2264151,Gladys  
3,10,0.121666667,73,82.65014693,0,38,12.14545205,51.2430911,P34
3,11,0.185,111,98.75849721,0,32,42.08366478,66.16819313,P34
4,0,0.223333333,134,94.8810282,0,25,71.00839481,71.00839481,Gladys  
4,1,0.13,78,65.4508015,0,41,0.858725407,38.61597288,P34
4,2,0.103333333,62,59.65250898,0,69,0.384677939,18.49227778,P34
4,3,0.213333333,128,71.11026408,0,3,68.84311631,68.84311631,Gladys  
4,4,0.21,126,140.5335104,0,48,72.40729168,72.40729168,Gladys  
4,5,0.113333333,68,76.64279863,0,46,41.38570035,41.38570035,Gladys  
4,6,0.198333333,119,70.6114641,0,8,62.40214493,64.96254697,P34
4,7,0.155,93,54.85682849,0,12,43.01780095,48.27400907,P34
4,8,0.088333333,53,74.99066462,0,79,6.008998065,15.74803957,P34
4,9,0.211666667,127,152.4074697,0,53,47.35370839,70.10743606,P34
4,10,0.196666667,118,76.95121065,0,32,51.80501647,51.80501647,Gladys  
4,11,0.096666667,58,50.92142978,0,6,4.598943526,47.3569297,P34
5,0,0.178333333,107,114.240141,0,48,41.13577942,58.26247192,P34
5,1,0.181666667,109,149.9596626,0,39,90.73523713,90.73523713,Gladys  
5,2,0.191666667,115,101.9108474,0,45,34.93627539,56.05096606,P34
5,3,0.12,72,56.22225191,0,52,5.917686418,26.98668092,P34
5,4,0.246666667,148,220.2692918,0,68,36.47014603,70.48617339,P34
5,5,0.158333333,95,83.71491348,0,59,13.5529393,34.32311453,P34
5,6,0.133333333,80,81.00160702,0,23,61.81480513,61.81480513,Gladys  
5,7,0.11,66,55.37548465,0,53,10.24855435,26.02647779,P34
5,8,0.135,81,48.74979144,0,35,14.57769116,31.68736444,P34
5,9,0.135,81,113.0940529,0,35,72.79415006,72.79415006,Gladys  
5,10,0.126666667,76,69.01733356,0,42,39.39953675,39.39953675,Gladys  
5,11,0.138333333,83,92.38840109,0,47,48.06545608,48.06545608,Gladys  
