blockNo,trialNo,prop,qty,startPrice,endPrice,step,oppBid,price,winner
0,0,0.118333333,71,100.8541342,0,25,75.33450089,75.33450089,Gladys  
0,1,0.111666667,67,69.85217082,0,29,49.25453275,49.25453275,Gladys  
0,2,0.19,114,124.8220757,0,35,46.81123112,81.13434923,P33
0,3,0.226666667,136,95.56054408,0,5,19.03654234,89.82691144,P33
0,4,0.083333333,50,32.2655839,0,26,23.60136098,23.60136098,Gladys  
0,5,0.218333333,131,137.5180178,0,54,1.926198242,63.25828818,P33
0,6,0.236666667,142,131.4358422,0,26,96.01842827,96.01842827,Gladys  
0,7,0.111666667,67,52.65041833,0,40,18.75384731,31.590251,P33
0,8,0.221666667,133,174.6832233,0,66,59.16591051,59.16591051,Gladys  
0,9,0.193333333,116,115.7827996,0,53,53.40413924,53.40413924,Gladys  
0,10,0.14,84,69.34150836,0,37,1.886082196,42.99173518,P33
0,11,0.126666667,76,69.59893938,0,51,28.91273074,34.1034803,P33
1,0,0.143333333,86,72.32221704,0,29,51.04934191,51.04934191,Gladys  
1,1,0.138333333,83,56.7495849,0,2,55.59538241,55.59538241,Gladys  
1,2,0.15,90,68.96046514,0,18,34.06224061,56.54758142,P33
1,3,0.226666667,136,194.8674781,0,50,38.67954416,97.43373907,P33
1,4,0.163333333,98,102.9745271,0,45,15.95775856,56.63598988,P33
1,5,0.183333333,110,105.8233452,0,6,99.01539034,99.01539034,Gladys  
1,6,0.091666667,55,35.94499648,0,33,2.160009871,24.08314764,P33
1,7,0.098333333,59,84.27885273,0,25,63.17562147,63.17562147,Gladys  
1,8,0.108333333,65,53.76651516,0,32,25.64387686,36.56123031,P33
1,9,0.203333333,122,77.53754767,0,49,3.641099668,39.54414931,P33
1,10,0.095,57,39.13593946,0,44,21.73403179,21.73403179,Gladys  
1,11,0.136666667,82,48.93296712,0,30,15.057828,34.25307698,P33
2,0,0.133333333,80,45.52761025,0,16,37.82648393,37.82648393,Gladys  
2,1,0.235,141,211.3068898,0,59,42.96055094,86.6358248,P33
2,2,0.176666667,106,108.901015,0,35,69.88503562,69.88503562,Gladys  
2,3,0.185,111,67.6190053,0,6,35.66887492,63.56186499,P33
2,4,0.113333333,68,77.36060539,0,49,29.09973499,39.45390875,P33
2,5,0.146666667,88,71.97012198,0,16,60.20349054,60.20349054,Gladys  
2,6,0.191666667,115,116.2629575,0,45,57.24840411,63.94462665,P33
2,7,0.233333333,140,202.0535985,0,55,90.61768355,90.61768355,Gladys  
2,8,0.181666667,109,128.9895584,0,54,58.08381649,58.08381649,Gladys  
2,9,0.091666667,55,45.26601896,0,7,41.97725167,41.97725167,Gladys  
2,10,0.15,90,51.65779335,0,1,24.07254741,50.62463748,P33
2,11,0.108333333,65,52.43090353,0,0,52.0678414,52.0678414,Gladys  
3,0,0.218333333,131,136.4694414,0,62,6.663165841,51.85838775,P33
3,1,0.23,138,124.844054,0,0,124.2534316,124.2534316,Gladys  
3,2,0.216666667,130,143.6923344,0,42,23.94831191,83.34155393,P33
3,3,0.21,126,87.56972738,0,46,29.43050278,47.28765278,P33
3,4,0.173333333,104,127.8259839,0,39,77.73331226,77.73331226,Gladys  
3,5,0.136666667,82,121.1841133,0,18,98.41826577,98.41826577,Gladys  
3,6,0.176666667,106,158.5340061,0,3,153.1276002,153.1276002,Gladys  
3,7,0.096666667,58,86.07748878,0,32,57.72469997,57.72469997,Gladys  
3,8,0.16,96,85.99692952,0,48,16.29824358,44.71840335,P33
3,9,0.248333333,149,81.31772569,0,23,3.473104862,62.61464878,P33
3,10,0.163333333,98,105.1673942,0,14,89.68752119,89.68752119,Gladys  
3,11,0.13,78,103.7503931,0,37,65.36217374,65.36217374,Gladys  
4,0,0.138333333,83,88.08822935,0,34,57.69759255,58.13823137,P33
4,1,0.158333333,95,75.69639254,0,48,12.52628838,39.36212412,P33
4,2,0.101666667,61,89.26433828,0,57,0.337449545,37.49102208,P33
4,3,0.085,51,56.96776763,0,6,53.18010272,53.18010272,Gladys  
4,4,0.248333333,149,99.11433544,0,17,14.25996936,82.26489842,P33
4,5,0.245,147,159.5071013,0,34,104.8912889,104.8912889,Gladys  
4,6,0.2,120,164.5704648,0,55,71.77585511,74.05670914,P33
4,7,0.128333333,77,64.38699143,0,54,20.52466946,28.97414614,P33
4,8,0.15,90,112.4650632,0,84,14.68284934,17.99441011,P33
4,9,0.228333333,137,143.7928808,0,18,116.6470017,116.6470017,Gladys  
4,10,0.106666667,64,63.64722693,0,21,49.94521479,49.94521479,Gladys  
4,11,0.186666667,112,166.5166004,0,3,160.1476312,160.1476312,Gladys  
5,0,0.145,87,83.85766835,0,45,45.71534725,45.71534725,Gladys  
5,1,0.205,123,103.3126485,0,44,28.97719076,57.85508317,P33
5,2,0.228333333,137,73.92650187,0,42,41.98821016,42.87737108,P33
5,3,0.085,51,52.82833373,0,49,26.76758327,26.76758327,Gladys  
5,4,0.158333333,95,105.4637564,0,72,21.49752068,29.52985179,P33
5,5,0.203333333,122,141.6767515,0,54,30.87047888,63.75453816,P33
5,6,0.103333333,62,86.97773676,0,59,15.69747573,35.66087207,P33
5,7,0.163333333,98,103.1783866,0,21,80.51634161,80.51634161,Gladys  
5,8,0.091666667,55,51.20723467,0,40,9.713049592,30.7243408,P33
5,9,0.24,144,209.3477387,0,38,128.0990548,128.0990548,Gladys  
5,10,0.186666667,112,107.8524192,0,7,99.45440777,99.45440777,Gladys  
5,11,0.17,102,53.77388275,0,2,52.32276961,52.32276961,Gladys  
