blockNo,trialNo,prop,qty,startPrice,endPrice,step,oppBid,price,winner
0,0,0.121666667,73,53.58330521,0,0,15.56197131,48.22497469,P21
0,1,0.158333333,95,92.89340846,0,3,58.98266621,58.98266621,Gladys  
0,2,0.086666667,52,34.8031219,0,3,23.36474568,23.36474568,Gladys  
0,3,0.153333333,92,64.43146352,0,1,24.30383769,57.98831717,P21
0,4,0.086666667,52,42.69596787,0,1,37.36992132,37.36992132,Gladys  
0,5,0.245,147,132.8847964,0,4,69.33006034,79.73087783,P21
0,6,0.198333333,119,157.9141351,0,6,12.80608007,63.16565404,P21
0,7,0.175,105,123.1835878,0,3,80.20880158,80.20880158,Gladys  
0,8,0.228333333,137,183.0304214,0,2,143.5979717,143.5979717,Gladys  
0,9,0.211666667,127,85.56248282,0,2,36.98888361,59.89373798,P21
0,10,0.086666667,52,44.5744401,0,4,20.0999795,26.74466406,P21
0,11,0.175,105,71.88463365,0,0,70.47701346,70.47701346,Gladys  
1,0,0.116666667,70,52.34217758,0,0,35.14982579,52.34217758,P21
1,1,0.173333333,104,154.4333807,0,6,56.73380464,61.77335229,P21
1,2,0.248333333,149,89.71660606,0,4,24.98604652,53.82996364,P21
1,3,0.085,51,70.92647672,0,2,54.07381053,54.07381053,Gladys  
1,4,0.148333333,89,93.44372599,0,2,72.0360995,72.0360995,Gladys  
1,5,0.168333333,101,106.2313117,0,2,79.54700167,79.54700167,Gladys  
1,6,0.105,63,54.60866747,0,0,7.381321915,49.14780072,P21
1,7,0.128333333,77,77.66887852,0,4,5.522175168,46.60132711,P21
1,8,0.238333333,143,194.6978618,0,2,154.1876375,154.1876375,Gladys  
1,9,0.165,99,136.2859145,0,2,98.0190155,98.0190155,Gladys  
1,10,0.176666667,106,94.46495335,0,0,85.06051431,85.06051431,Gladys  
1,11,0.12,72,79.24127036,0,2,18.13079284,55.46888925,P21
2,0,0.201666667,121,76.89514509,0,0,74.38012402,74.38012402,Gladys  
2,1,0.186666667,112,77.46176246,0,0,48.01193478,77.46176246,P21
2,2,0.153333333,92,89.57720354,0,2,69.68384784,69.68384784,Gladys  
2,3,0.093333333,56,64.12251497,0,4,3.086459847,38.47350898,P21
2,4,0.216666667,130,88.10458771,0,1,72.26463419,72.26463419,Gladys  
2,5,0.225,135,195.8584213,0,6,69.19967656,69.19967656,Gladys  
2,6,0.09,54,27.50904787,0,3,3.254269609,19.25633351,P21
2,7,0.141666667,85,76.93731487,0,0,71.73449014,71.73449014,Gladys  
2,8,0.146666667,88,56.56696614,0,0,15.62914191,56.56696614,P21
2,9,0.123333333,74,109.6466425,0,5,1.764306154,54.82332123,P21
2,10,0.13,78,64.61508105,0,2,9.260493566,51.69206484,P21
2,11,0.136666667,82,93.79895701,0,5,11.24092217,46.8994785,P21
3,0,0.18,108,83.94995865,0,1,45.02157848,67.15996692,P21
3,1,0.185,111,114.59052,0,3,71.55120012,71.55120012,Gladys  
3,2,0.233333333,140,118.928057,0,4,18.53272849,71.35683418,P21
3,3,0.241666667,145,213.2038093,0,6,67.08351575,67.08351575,Gladys  
3,4,0.235,141,72.65143015,0,1,8.304155116,65.38628714,P21
3,5,0.123333333,74,75.54391222,0,7,21.08953595,21.08953595,Gladys  
3,6,0.138333333,83,86.37363917,0,6,30.06148915,34.54945567,P21
3,7,0.101666667,61,35.76115093,0,6,10.79048964,10.79048964,Gladys  
3,8,0.2,120,112.8469409,0,4,0.806695413,56.42347046,P21
3,9,0.163333333,98,64.53431947,0,1,57.05535644,57.05535644,Gladys  
3,10,0.16,96,64.40473331,0,4,9.431027507,38.64283999,P21
3,11,0.213333333,128,89.08150417,0,7,23.15475271,23.15475271,Gladys  
4,0,0.165,99,104.3836119,0,4,9.177937343,62.63016714,P21
4,1,0.22,132,141.0458421,0,5,41.36650696,70.52292103,P21
4,2,0.245,147,184.8618464,0,3,122.5930668,122.5930668,Gladys  
4,3,0.091666667,55,37.41215759,0,6,3.602018989,14.96486304,P21
4,4,0.095,57,61.70917502,0,3,40.81882361,40.81882361,Gladys  
4,5,0.168333333,101,149.3826077,0,5,71.22765166,71.22765166,Gladys  
4,6,0.161666667,97,122.5982379,0,4,15.44430238,73.55894273,P21
4,7,0.176666667,106,122.5672676,0,0,114.0077026,114.0077026,Gladys  
4,8,0.118333333,71,83.42422134,0,5,34.14044847,41.71211067,P21
4,9,0.151666667,91,59.44562559,0,0,56.06797407,56.06797407,Gladys  
4,10,0.176666667,106,122.877256,0,5,41.67037709,61.43862798,P21
4,11,0.1,60,80.6291855,0,7,20.61143711,20.61143711,Gladys  
5,0,0.101666667,61,31.19915943,0,2,15.24658174,24.95932755,P21
5,1,0.093333333,56,64.83577668,0,7,9.122645085,19.450733,P21
5,2,0.226666667,136,114.3153225,0,2,83.47797076,83.47797076,Gladys  
5,3,0.156666667,94,122.3959059,0,0,119.8799442,119.8799442,Gladys  
5,4,0.12,72,84.27603316,0,6,22.9393909,33.71041327,P21
5,5,0.186666667,112,60.02568747,0,1,5.49567585,54.02311873,P21
5,6,0.216666667,130,194.4983118,0,5,90.04523509,90.04523509,Gladys  
5,7,0.186666667,112,91.8504215,0,1,74.57938529,74.57938529,Gladys  
5,8,0.108333333,65,54.95224611,0,3,33.82020044,33.82020044,Gladys  
5,9,0.136666667,82,42.66321026,0,2,8.074686064,29.86424718,P21
5,10,0.195,117,137.4483013,0,5,33.03617942,68.72415063,P21
5,11,0.133333333,80,59.58219721,0,3,36.39586802,41.70753805,P21
