blockNo,trialNo,prop,qty,startPrice,endPrice,step,oppBid,price,winner
0,0,0.22,132,187.6546689,0,7,41.21973187,41.21973187,Gladys  
0,1,0.183333333,110,112.0331857,0,5,17.04498167,44.81327429,P25
0,2,0.21,126,179.4807546,0,6,34.07456285,71.79230183,P25
0,3,0.216666667,130,99.69244556,0,4,18.4640335,59.81546733,P25
0,4,0.161666667,97,54.893792,0,2,42.11276762,42.11276762,Gladys  
0,5,0.156666667,94,138.8884903,0,0,132.1586578,132.1586578,Gladys  
0,6,0.156666667,94,62.80108976,0,0,56.56713681,56.56713681,Gladys  
0,7,0.135,81,52.76449593,0,1,45.10833029,45.10833029,Gladys  
0,8,0.111666667,67,92.01684417,0,1,34.05019606,73.61347533,P25
0,9,0.216666667,130,156.7820376,0,4,7.959591,94.06922256,P25
0,10,0.175,105,100.0841943,0,8,19.54895322,19.54895322,Gladys  
0,11,0.118333333,71,95.64922237,0,7,20.49525539,20.49525539,Gladys  
1,0,0.128333333,77,71.84488601,0,5,35.65372741,35.65372741,Gladys  
1,1,0.095,57,53.21728871,0,5,25.31170889,25.31170889,Gladys  
1,2,0.171666667,103,104.678349,0,3,68.01352564,68.01352564,Gladys  
1,3,0.158333333,95,48.81954344,0,1,43.57096553,43.57096553,Gladys  
1,4,0.121666667,73,80.17189788,0,1,70.03800331,70.03800331,Gladys  
1,5,0.133333333,80,99.01141468,0,5,14.35996734,49.50570734,P25
1,6,0.173333333,104,143.3897174,0,0,142.1512423,142.1512423,Gladys  
1,7,0.228333333,137,148.9375424,0,6,54.30918226,54.30918226,Gladys  
1,8,0.135,81,91.47138503,0,6,19.41502746,36.58855401,P25
1,9,0.11,66,82.84228283,0,5,32.75223513,41.42114141,P25
1,10,0.181666667,109,149.3654312,0,6,49.25817498,49.25817498,Gladys  
1,11,0.111666667,67,99.11967177,0,6,32.5378748,32.5378748,Gladys  
2,0,0.083333333,50,28.02304393,0,1,24.43303053,24.43303053,Gladys  
2,1,0.236666667,142,178.9372893,0,5,82.62997085,82.62997085,Gladys  
2,2,0.168333333,101,137.1203934,0,4,31.39621655,82.27223603,P25
2,3,0.231666667,139,176.5748728,0,4,30.55935602,105.9449237,P25
2,4,0.183333333,110,134.2486945,0,4,80.24616605,80.24616605,Gladys  
2,5,0.121666667,73,61.4841519,0,4,19.83179072,36.89049114,P25
2,6,0.195,117,170.9971389,0,5,81.76868311,81.76868311,Gladys  
2,7,0.225,135,147.9505188,0,1,120.200113,120.200113,Gladys  
2,8,0.136666667,82,121.280613,0,4,12.71327984,72.76836783,P25
2,9,0.17,102,92.66456302,0,2,71.10464474,71.10464474,Gladys  
2,10,0.24,144,165.6354365,0,4,98.42660388,98.42660388,Gladys  
2,11,0.165,99,110.1066015,0,6,41.1176575,44.0426406,P25
3,0,0.11,66,61.11987599,0,5,30.01874678,30.01874678,Gladys  
3,1,0.096666667,58,62.9329954,0,1,51.36719716,51.36719716,Gladys  
3,2,0.241666667,145,120.7654043,0,2,80.2956211,84.53578301,P25
3,3,0.176666667,106,119.6116069,0,5,13.03254527,59.80580344,P25
3,4,0.226666667,136,174.0708357,0,0,172.5327075,172.5327075,Gladys  
3,5,0.093333333,56,80.23036688,0,0,72.99682894,72.99682894,Gladys  
3,6,0.088333333,53,66.70160098,0,4,35.64615911,40.02096059,P25
3,7,0.086666667,52,46.83375903,0,3,30.956782,30.956782,Gladys  
3,8,0.183333333,110,147.5690613,0,2,17.19149819,118.055249,P25
3,9,0.118333333,71,75.27487938,0,2,53.1294125,53.1294125,Gladys  
3,10,0.181666667,109,60.97905052,0,3,4.661459835,42.68533537,P25
3,11,0.22,132,67.79323663,0,3,43.18775324,43.18775324,Gladys  
4,0,0.116666667,70,82.10945063,0,4,46.02585601,46.02585601,Gladys  
4,1,0.175,105,145.1990546,0,3,97.86469586,97.86469586,Gladys  
4,2,0.208333333,125,65.70853417,0,5,9.600091301,32.85426708,P25
4,3,0.121666667,73,98.98226763,0,4,39.38789516,59.38936058,P25
4,4,0.091666667,55,57.92594225,0,5,9.940597853,28.96297113,P25
4,5,0.14,84,66.09679817,0,1,56.16370577,56.16370577,Gladys  
4,6,0.186666667,112,142.449255,0,3,52.12332963,99.71447852,P25
4,7,0.171666667,103,93.79186511,0,4,1.748084908,56.27511907,P25
4,8,0.121666667,73,51.70734412,0,3,32.20551497,32.20551497,Gladys  
4,9,0.121666667,73,38.56170614,0,2,21.05878417,30.84936491,P25
4,10,0.165,99,75.92723261,0,5,14.84338655,37.96361631,P25
4,11,0.17,102,94.37049543,0,6,33.68394203,33.68394203,Gladys  
5,0,0.126666667,76,100.6746909,0,0,90.82499351,90.82499351,Gladys  
5,1,0.098333333,59,66.8631667,0,1,58.03836783,58.03836783,Gladys  
5,2,0.135,81,80.86544423,0,1,19.54613592,72.77889981,P25
5,3,0.19,114,131.3183557,0,4,52.82625728,78.79101341,P25
5,4,0.1,60,45.28169843,0,4,18.74449913,27.16901906,P25
5,5,0.198333333,119,153.2643453,0,3,97.08228798,97.08228798,Gladys  
5,6,0.105,63,44.32641681,0,4,4.818215072,26.59585009,P25
5,7,0.135,81,85.91010412,0,7,21.00000558,25.77303124,P25
5,8,0.106666667,64,91.33265424,0,3,56.823839,56.823839,Gladys  
5,9,0.16,96,99.47901743,0,4,7.626776591,59.68741046,P25
5,10,0.09,54,62.02602234,0,4,32.5289739,32.5289739,Gladys  
5,11,0.085,51,44.82880947,0,0,37.34730458,44.82880947,P25
