blockNo,trialNo,prop,qty,startPrice,endPrice,step,oppBid,price,winner
0,0,0.185,111,76.4376139,0,4,40.97260352,40.97260352,Gladys  
0,1,0.206666667,124,130.91684,0,5,39.24910008,65.45841999,P24
0,2,0.231666667,139,150.8508793,0,2,114.0782803,114.0782803,Gladys  
0,3,0.115,69,98.05291705,0,1,85.05835384,85.05835384,Gladys  
0,4,0.206666667,124,75.72440311,0,1,63.96032387,63.96032387,Gladys  
0,5,0.231666667,139,111.045655,0,1,95.96351528,95.96351528,Gladys  
0,6,0.135,81,44.8595457,0,1,36.00555649,36.00555649,Gladys  
0,7,0.098333333,59,29.75899661,0,2,6.421967029,20.83129763,P24
0,8,0.176666667,106,145.2082173,0,2,111.9217728,111.9217728,Gladys  
0,9,0.138333333,83,60.82957127,0,2,4.423720954,48.66365702,P24
0,10,0.083333333,50,48.1870917,0,4,25.15250478,25.15250478,Gladys  
0,11,0.131666667,79,82.80275169,0,4,45.03125866,49.68165101,P24
1,0,0.215,129,86.0703322,0,0,85.53209138,85.53209138,Gladys  
1,1,0.1,60,85.76633643,0,3,22.21187812,60.0364355,P24
1,2,0.168333333,101,119.7345222,0,4,66.44719548,66.44719548,Gladys  
1,3,0.146666667,88,84.60137852,0,0,80.12590752,80.12590752,Gladys  
1,4,0.155,93,120.3771669,0,6,32.78692911,48.15086677,P24
1,5,0.195,117,85.70056876,0,0,81.11202407,81.11202407,Gladys  
1,6,0.22,132,187.9901623,0,6,26.04779527,75.19606493,P24
1,7,0.173333333,104,94.66926751,0,5,47.14261872,47.14261872,Gladys  
1,8,0.123333333,74,55.55910828,0,1,3.485765913,44.44728663,P24
1,9,0.13,78,109.757998,0,4,64.69059888,64.69059888,Gladys  
1,10,0.128333333,77,105.4470815,0,5,8.452207039,52.72354076,P24
1,11,0.083333333,50,74.7642631,0,5,20.70912427,37.38213155,P24
2,0,0.133333333,80,87.39020157,0,6,24.86773185,34.95608063,P24
2,1,0.085,51,44.01701055,0,5,6.035229897,22.00850527,P24
2,2,0.22,132,193.1948858,0,7,39.67149094,39.67149094,Gladys  
2,3,0.116666667,70,37.21511928,0,5,17.31839017,17.31839017,Gladys  
2,4,0.245,147,163.6285093,0,3,113.560351,113.560351,Gladys  
2,5,0.223333333,134,95.95924915,0,2,10.11327482,76.76739932,P24
2,6,0.16,96,114.5837242,0,5,54.52278196,54.52278196,Gladys  
2,7,0.093333333,56,50.84727299,0,2,27.04511043,35.5930911,P24
2,8,0.241666667,145,111.0993019,0,1,95.80646146,95.80646146,Gladys  
2,9,0.1,60,60.88481723,0,3,32.38677184,42.61937206,P24
2,10,0.168333333,101,85.74768054,0,0,55.62190381,77.17291248,P24
2,11,0.155,93,132.3447729,0,1,118.9672841,118.9672841,Gladys  
3,0,0.143333333,86,51.60622123,0,1,37.28858132,46.44559911,P24
3,1,0.208333333,125,162.5211054,0,4,94.31815296,94.31815296,Gladys  
3,2,0.188333333,113,132.2145837,0,5,37.85373308,66.10729184,P24
3,3,0.086666667,52,27.10320762,0,4,6.488733988,16.26192457,P24
3,4,0.108333333,65,80.45387617,0,3,56.25163502,56.25163502,Gladys  
3,5,0.198333333,119,177.740787,0,2,128.7425481,128.7425481,Gladys  
3,6,0.168333333,101,97.154805,0,1,84.5360557,84.5360557,Gladys  
3,7,0.121666667,73,40.96028162,0,2,5.88381871,32.7682253,P24
3,8,0.186666667,112,142.1514634,0,2,102.8021132,102.8021132,Gladys  
3,9,0.125,75,97.64079575,0,4,50.76571589,58.58447745,P24
3,10,0.12,72,72.30713409,0,4,16.60439573,43.38428045,P24
3,11,0.248333333,149,127.4546916,0,0,119.5964761,119.5964761,Gladys  
4,0,0.15,90,108.9206747,0,4,61.31826632,61.31826632,Gladys  
4,1,0.245,147,86.07814437,0,0,82.50856281,82.50856281,Gladys  
4,2,0.216666667,130,118.4591917,0,4,63.32404905,63.32404905,Gladys  
4,3,0.118333333,71,95.79695694,0,5,34.86627136,47.89847847,P24
4,4,0.098333333,59,57.49677099,0,4,32.82210673,32.82210673,Gladys  
4,5,0.246666667,148,221.7216542,0,1,198.6294388,198.6294388,Gladys  
4,6,0.21,126,177.8003917,0,5,77.69996856,88.90019584,P24
4,7,0.198333333,119,136.7720761,0,7,15.48766164,41.03162282,P24
4,8,0.208333333,125,96.03380209,0,3,25.46558716,57.62028125,P24
4,9,0.221666667,133,80.30888726,0,1,65.74956722,65.74956722,Gladys  
4,10,0.195,117,124.1756287,0,4,6.822203016,74.50537724,P24
4,11,0.09,54,50.82004006,0,1,42.35873151,42.35873151,Gladys  
5,0,0.086666667,52,75.94760711,0,1,60.79544532,60.79544532,Gladys  
5,1,0.193333333,116,120.1011305,0,0,117.9934688,117.9934688,Gladys  
5,2,0.146666667,88,63.17173384,0,2,49.93807132,49.93807132,Gladys  
5,3,0.225,135,167.2144885,0,1,149.1742538,149.1742538,Gladys  
5,4,0.165,99,67.62376447,0,4,39.10634423,39.10634423,Gladys  
5,5,0.098333333,59,68.59713796,0,1,59.1778241,59.1778241,Gladys  
5,6,0.083333333,50,69.66236976,0,2,49.02296966,49.02296966,Gladys  
5,7,0.213333333,128,110.9702386,0,2,85.3854765,85.3854765,Gladys  
5,8,0.208333333,125,122.2278548,0,3,82.64937281,82.64937281,Gladys  
5,9,0.133333333,80,43.38135874,0,0,15.50432088,43.38135874,P24
5,10,0.143333333,86,48.5895942,0,0,32.49779218,43.73063478,P24
5,11,0.196666667,118,128.6565987,0,4,3.880719425,77.19395922,P24
