blockNo,trialNo,prop,qty,startPrice,endPrice,step,oppBid,price,winner
0,0,0.136666667,82,102.5754559,0,3,70.28779647,70.28779647,Gladys  
0,1,0.141666667,85,125.8345817,0,2,88.84208967,88.84208967,Gladys  
0,2,0.141666667,85,50.67703514,0,2,19.5932522,35.4739246,P23
0,3,0.188333333,113,92.31496438,0,4,30.73473432,55.38897863,P23
0,4,0.223333333,134,91.12031349,0,0,85.92441685,85.92441685,Gladys  
0,5,0.135,81,84.85034413,0,6,26.93572606,33.94013765,P23
0,6,0.233333333,140,99.54083997,0,4,24.64117796,59.72450398,P23
0,7,0.126666667,76,76.15746535,0,5,32.98979631,38.07873267,P23
0,8,0.121666667,73,52.54359906,0,2,1.762153568,36.78051934,P23
0,9,0.131666667,79,55.57950249,0,2,32.4107127,38.90565174,P23
0,10,0.103333333,62,85.98502443,0,4,6.243368607,51.59101466,P23
0,11,0.185,111,81.59310199,0,7,20.0372547,20.0372547,Gladys  
1,0,0.146666667,88,45.82981076,0,0,43.27028391,43.27028391,Gladys  
1,1,0.086666667,52,41.623192,0,5,19.37947687,20.811596,P23
1,2,0.106666667,64,42.15526948,0,0,40.80664395,40.80664395,Gladys  
1,3,0.185,111,141.6196326,0,7,38.0444491,38.0444491,Gladys  
1,4,0.208333333,125,113.4873939,0,5,54.93654415,54.93654415,Gladys  
1,5,0.246666667,148,155.8026922,0,1,129.22859,129.22859,Gladys  
1,6,0.093333333,56,44.46973006,0,2,10.25126334,35.57578405,P23
1,7,0.228333333,137,159.0075335,0,1,28.96969258,143.1067801,P23
1,8,0.165,99,60.25745845,0,0,57.89551271,57.89551271,Gladys  
1,9,0.196666667,118,159.8040985,0,1,139.9900878,139.9900878,Gladys  
1,10,0.095,57,32.00270021,0,0,5.870771511,32.00270021,P23
1,11,0.245,147,182.3308728,0,1,155.6208891,155.6208891,Gladys  
2,0,0.226666667,136,188.9595011,0,7,14.94245749,56.68785032,P23
2,1,0.185,111,116.1334308,0,5,28.52000944,46.45337233,P23
2,2,0.208333333,125,96.13449522,0,5,20.86276543,48.06724761,P23
2,3,0.215,129,150.0909256,0,2,118.2774078,118.2774078,Gladys  
2,4,0.233333333,140,180.0798924,0,3,113.4525371,113.4525371,Gladys  
2,5,0.191666667,115,130.6635239,0,7,34.67071916,39.19905717,P23
2,6,0.17,102,86.20048408,0,3,27.50664317,60.34033886,P23
2,7,0.123333333,74,101.7065016,0,0,101.5764297,101.5764297,Gladys  
2,8,0.183333333,110,96.04591201,0,0,89.92516146,89.92516146,Gladys  
2,9,0.225,135,162.4672775,0,1,142.5715535,142.5715535,Gladys  
2,10,0.173333333,104,131.1715652,0,5,17.17821213,65.5857826,P23
2,11,0.16,96,129.3084699,0,4,74.9445307,74.9445307,Gladys  
3,0,0.138333333,83,50.66937446,0,2,8.862881522,35.46856212,P23
3,1,0.181666667,109,109.9006414,0,0,105.1985899,105.1985899,Gladys  
3,2,0.196666667,118,98.10669743,0,2,75.51199201,75.51199201,Gladys  
3,3,0.186666667,112,149.5864811,0,4,76.7845947,76.7845947,Gladys  
3,4,0.223333333,134,82.90337429,0,1,63.5249932,74.61303686,P23
3,5,0.213333333,128,181.5932875,0,4,91.43684606,91.43684606,Gladys  
3,6,0.143333333,86,76.18606443,0,4,40.24184025,40.24184025,Gladys  
3,7,0.235,141,177.7070098,0,5,75.83763036,75.83763036,Gladys  
3,8,0.138333333,83,61.20080181,0,2,47.28052262,47.28052262,Gladys  
3,9,0.121666667,73,106.2770287,0,0,101.2765778,101.2765778,Gladys  
3,10,0.225,135,183.5423207,0,4,57.00813603,110.1253924,P23
3,11,0.12,72,82.11711911,0,0,13.88320698,82.11711911,P23
4,0,0.206666667,124,132.4200065,0,0,121.2591379,121.2591379,Gladys  
4,1,0.138333333,83,119.8218769,0,4,62.3142027,62.3142027,Gladys  
4,2,0.19,114,149.2218003,0,6,45.22545483,59.68872012,P23
4,3,0.201666667,121,151.6539615,0,1,122.8286126,122.8286126,Gladys  
4,4,0.218333333,131,175.8589722,0,5,74.84629878,74.84629878,Gladys  
4,5,0.193333333,116,131.086921,0,5,4.203418834,65.5434605,P23
4,6,0.12,72,88.2378393,0,6,31.55231961,35.29513572,P23
4,7,0.12,72,106.2233291,0,3,68.10012347,68.10012347,Gladys  
4,8,0.18,108,88.58807067,0,6,17.64499948,35.43522827,P23
4,9,0.205,123,150.1986882,0,6,16.49781793,60.0794753,P23
4,10,0.15,90,119.2353611,0,2,87.63707933,87.63707933,Gladys  
4,11,0.146666667,88,48.33409011,0,0,41.54267553,48.33409011,P23
5,0,0.156666667,94,94.64753048,0,0,92.19337291,92.19337291,Gladys  
5,1,0.143333333,86,69.15139408,0,3,18.74415472,48.40597585,P23
5,2,0.086666667,52,70.767697,0,3,43.97128227,43.97128227,Gladys  
5,3,0.228333333,137,137.9350086,0,1,110.9902501,110.9902501,Gladys  
5,4,0.21,126,108.6898881,0,5,51.0038324,54.34494406,P23
5,5,0.085,51,67.04815463,0,2,49.00460176,49.00460176,Gladys  
5,6,0.185,111,97.94862042,0,5,10.92793907,48.97431021,P23
5,7,0.11,66,45.37391645,0,0,15.6912828,40.8365248,P23
5,8,0.148333333,89,108.7436965,0,5,12.87489904,54.37184824,P23
5,9,0.125,75,101.0121678,0,1,85.10010236,85.10010236,Gladys  
5,10,0.16,96,66.74662697,0,1,56.1796368,56.1796368,Gladys  
5,11,0.093333333,56,57.12359582,0,0,56.25102965,56.25102965,Gladys  
