blockNo,trialNo,prop,qty,startPrice,endPrice,step,oppBid,price,winner
0,0,0.235,141,188.127874,0,2,135.5780934,135.5780934,Gladys  
0,1,0.183333333,110,140.8258692,0,2,105.5845263,105.5845263,Gladys  
0,2,0.123333333,74,71.91480353,0,0,70.53459258,70.53459258,Gladys  
0,3,0.148333333,89,50.37946876,0,0,0.159670948,50.37946876,P30
0,4,0.153333333,92,107.1236494,0,3,1.917094362,74.98655461,P30
0,5,0.216666667,130,142.5089211,0,5,17.9834945,71.25446056,P30
0,6,0.138333333,83,119.8798999,0,0,118.1160848,118.1160848,Gladys  
0,7,0.171666667,103,55.12781641,0,0,5.410201954,55.12781641,P30
0,8,0.14,84,74.84846137,0,2,57.88258741,57.88258741,Gladys  
0,9,0.18,108,159.018387,0,0,155.8117742,155.8117742,Gladys  
0,10,0.15,90,51.01782154,0,0,21.15620584,51.01782154,P30
0,11,0.175,105,147.824344,0,6,58.19134005,58.19134005,Gladys  
1,0,0.113333333,68,100.9904028,0,2,78.50998907,78.50998907,Gladys  
1,1,0.135,81,41.63849882,0,0,23.04299077,41.63849882,P30
1,2,0.113333333,68,46.96745623,0,2,10.81571411,32.87721936,P30
1,3,0.213333333,128,148.2622277,0,5,36.98680705,74.13111386,P30
1,4,0.193333333,116,67.31301242,0,1,39.80618363,60.58171118,P30
1,5,0.21,126,103.1821095,0,3,26.86828015,72.22747666,P30
1,6,0.153333333,92,112.2141919,0,0,101.5784223,101.5784223,Gladys  
1,7,0.243333333,146,81.46970136,0,3,35.07169213,57.02879095,P30
1,8,0.246666667,148,197.9084952,0,4,114.3521169,114.3521169,Gladys  
1,9,0.236666667,142,196.8511166,0,2,156.8826211,156.8826211,Gladys  
1,10,0.096666667,58,76.24835166,0,9,5.466489412,5.466489412,Gladys  
1,11,0.088333333,53,29.09281841,0,4,16.81016597,16.81016597,Gladys  
2,0,0.221666667,133,174.8697754,0,2,124.6888998,124.6888998,Gladys  
2,1,0.11,66,48.51187953,0,1,40.05727169,43.66069158,P30
2,2,0.125,75,68.9831702,0,1,57.96171522,57.96171522,Gladys  
2,3,0.155,93,90.15805025,0,0,86.50732152,86.50732152,Gladys  
2,4,0.173333333,104,141.2725911,0,5,67.73551765,67.73551765,Gladys  
2,5,0.153333333,92,94.99055681,0,3,65.70465324,65.70465324,Gladys  
2,6,0.231666667,139,145.4343422,0,4,72.74305366,72.74305366,Gladys  
2,7,0.236666667,142,125.5304633,0,4,54.41725341,75.318278,P30
2,8,0.245,147,141.2097811,0,5,66.57773999,66.57773999,Gladys  
2,9,0.228333333,137,103.3434178,0,2,37.16308875,82.67473425,P30
2,10,0.096666667,58,69.5592437,0,6,13.51790575,27.82369748,P30
2,11,0.216666667,130,156.2905687,0,3,97.49060931,109.4033981,P30
3,0,0.098333333,59,72.51012795,0,2,51.51990972,51.51990972,Gladys  
3,1,0.206666667,124,155.9255982,0,5,22.43450928,77.96279909,P30
3,2,0.176666667,106,106.7149525,0,4,7.495760594,64.02897149,P30
3,3,0.12,72,49.27314066,0,2,34.78986223,34.78986223,Gladys  
3,4,0.22,132,183.8571762,0,1,159.9057972,159.9057972,Gladys  
3,5,0.153333333,92,104.9493343,0,4,55.38991989,55.38991989,Gladys  
3,6,0.093333333,56,53.58258041,0,4,28.09429677,28.09429677,Gladys  
3,7,0.205,123,147.8137681,0,6,49.86626585,59.12550722,P30
3,8,0.118333333,71,76.14097931,0,5,31.19460873,31.19460873,Gladys  
3,9,0.158333333,95,70.60886117,0,0,63.92257295,63.92257295,Gladys  
3,10,0.106666667,64,55.75181689,0,1,48.47690231,48.47690231,Gladys  
3,11,0.161666667,97,118.1065613,0,0,66.28975506,118.1065613,P30
4,0,0.105,63,62.19620793,0,1,14.89681119,49.75696634,P30
4,1,0.113333333,68,45.44739155,0,3,29.75931544,29.75931544,Gladys  
4,2,0.125,75,84.88320684,0,6,28.52428691,28.52428691,Gladys  
4,3,0.241666667,145,115.2557094,0,1,96.73719189,96.73719189,Gladys  
4,4,0.238333333,143,199.0766335,0,5,19.59448167,99.53831677,P30
4,5,0.105,63,87.69821612,0,4,35.99453502,52.61892967,P30
4,6,0.123333333,74,41.14906576,0,5,16.32805668,20.57453288,P30
4,7,0.118333333,71,36.12969568,0,4,21.27777246,21.27777246,Gladys  
4,8,0.193333333,116,119.0097307,0,4,62.45875874,62.45875874,Gladys  
4,9,0.21,126,111.9460012,0,3,77.94781624,77.94781624,Gladys  
4,10,0.12,72,52.47701,0,5,13.42288296,26.238505,P30
4,11,0.205,123,172.5769558,0,0,169.5541842,169.5541842,Gladys  
5,0,0.156666667,94,83.68655824,0,5,19.88405246,41.84327912,P30
5,1,0.215,129,73.45357101,0,2,56.69650841,56.69650841,Gladys  
5,2,0.14,84,86.05992626,0,4,50.9451038,50.9451038,Gladys  
5,3,0.163333333,98,128.1031318,0,0,122.8886121,122.8886121,Gladys  
5,4,0.095,57,42.53024426,0,4,21.45962832,21.45962832,Gladys  
5,5,0.181666667,109,136.2893603,0,5,23.30340095,68.14468017,P30
5,6,0.231666667,139,69.75762183,0,1,21.02408507,62.78185965,P30
5,7,0.236666667,142,206.344438,0,4,109.0828282,109.0828282,Gladys  
5,8,0.246666667,148,136.8698757,0,4,77.88533779,77.88533779,Gladys  
5,9,0.216666667,130,174.9980276,0,0,160.5588342,160.5588342,Gladys  
5,10,0.185,111,90.66601204,0,0,5.38971156,90.66601204,P30
5,11,0.143333333,86,83.75587144,0,0,66.73279905,83.75587144,P30
