blockNo,trialNo,prop,qty,startPrice,endPrice,step,oppBid,price,winner
0,0,0.106666667,64,79.20020411,0,5,19.59584137,39.60010205,P37
0,1,0.185,111,103.1525879,0,3,41.26955922,61.89155274,P37
0,2,0.151666667,91,51.98750869,0,2,30.03372971,41.59000695,P37
0,3,0.203333333,122,75.62890339,0,2,59.65806624,59.65806624,Gladys  
0,4,0.155,93,106.3733909,0,3,67.38581572,67.38581572,Gladys  
0,5,0.208333333,125,148.0366355,0,7,10.48988058,44.41099065,P37
0,6,0.171666667,103,137.2746289,0,8,23.30263245,27.45492577,P37
0,7,0.203333333,122,92.3270722,0,4,17.27485509,55.39624332,P37
0,8,0.19,114,167.7833403,0,7,8.302058893,50.33500208,P37
0,9,0.226666667,136,119.3611917,0,4,71.29007904,71.29007904,Gladys  
0,10,0.233333333,140,202.133769,0,3,133.9667929,133.9667929,Gladys  
0,11,0.113333333,68,94.16687641,0,0,92.78147831,92.78147831,Gladys  
1,0,0.095,57,45.33369093,0,3,20.46882475,31.73358365,P37
1,1,0.145,87,74.80997555,0,4,13.3954555,44.88598533,P37
1,2,0.186666667,112,115.0020702,0,2,84.19097516,84.19097516,Gladys  
1,3,0.186666667,112,79.70401769,0,3,39.59532733,55.79281238,P37
1,4,0.225,135,160.0350797,0,3,105.1730629,105.1730629,Gladys  
1,5,0.13,78,100.2034544,0,0,96.32152805,96.32152805,Gladys  
1,6,0.2,120,77.28722559,0,4,2.209967965,46.37233536,P37
1,7,0.106666667,64,41.75101488,0,2,18.41274715,29.22571041,P37
1,8,0.126666667,76,104.2090136,0,5,11.30098243,52.10450681,P37
1,9,0.241666667,145,215.1814153,0,3,132.9687416,132.9687416,Gladys  
1,10,0.095,57,64.14240636,0,1,55.90145132,55.90145132,Gladys  
1,11,0.235,141,174.1388297,0,7,46.07475491,46.07475491,Gladys  
2,0,0.225,135,199.1773008,0,3,129.2046418,129.2046418,Gladys  
2,1,0.178333333,107,157.4180167,0,3,98.63546385,98.63546385,Gladys  
2,2,0.221666667,133,128.7539045,0,5,12.97788356,64.37695223,P37
2,3,0.19,114,151.5953833,0,6,55.31065226,60.63815331,P37
2,4,0.181666667,109,107.6123876,0,5,17.15284536,53.80619381,P37
2,5,0.246666667,148,107.1210405,0,5,27.67971554,53.56052024,P37
2,6,0.125,75,75.486718,0,0,71.6241381,71.6241381,Gladys  
2,7,0.153333333,92,88.85825463,0,5,40.50996214,44.42912732,P37
2,8,0.248333333,149,127.2356992,0,4,25.91157784,63.61784962,P37
2,9,0.155,93,79.86368335,0,7,17.15859574,17.15859574,Gladys  
2,10,0.156666667,94,55.22884563,0,1,47.98488267,47.98488267,Gladys  
2,11,0.173333333,104,102.5457585,0,9,2.474378147,2.474378147,Gladys  
3,0,0.096666667,58,62.01737404,0,7,1.514218103,18.60521221,P37
3,1,0.248333333,149,143.7648712,0,6,41.86627591,57.50594849,P37
3,2,0.118333333,71,82.80912125,0,4,47.52246401,47.52246401,Gladys  
3,3,0.221666667,133,123.5467472,0,4,51.1453835,74.1280483,P37
3,4,0.151666667,91,71.34818564,0,3,18.30065578,49.94372994,P37
3,5,0.176666667,106,93.18192965,0,2,67.11903126,67.11903126,Gladys  
3,6,0.175,105,86.93903724,0,0,81.78162305,81.78162305,Gladys  
3,7,0.196666667,118,67.90084647,0,1,32.76204084,61.11076182,P37
3,8,0.118333333,71,38.16627809,0,1,7.649484697,34.34965028,P37
3,9,0.148333333,89,90.91579806,0,5,30.42062733,45.45789903,P37
3,10,0.146666667,88,99.63145433,0,2,76.71861126,76.71861126,Gladys  
3,11,0.185,111,112.4018514,0,8,13.00463772,13.00463772,Gladys  
4,0,0.228333333,137,144.0343641,0,9,11.45205815,11.45205815,Gladys  
4,1,0.156666667,94,59.93344625,0,3,38.11699492,38.11699492,Gladys  
4,2,0.151666667,91,81.99980175,0,5,31.82952524,40.99990087,P37
4,3,0.146666667,88,121.3364058,0,4,65.97721274,65.97721274,Gladys  
4,4,0.221666667,133,100.8667511,0,5,42.33510085,42.33510085,Gladys  
4,5,0.203333333,122,98.43562194,0,3,16.42575141,59.06137316,P37
4,6,0.243333333,146,103.2162701,0,5,35.94445856,51.60813505,P37
4,7,0.106666667,64,69.77516024,0,5,24.47606544,34.88758012,P37
4,8,0.225,135,68.88700496,0,4,31.40749008,41.33220298,P37
4,9,0.233333333,140,129.7045035,0,6,40.97788205,51.88180141,P37
4,10,0.133333333,80,101.9176648,0,3,64.79205098,64.79205098,Gladys  
4,11,0.181666667,109,75.14696443,0,1,62.25839591,67.63226798,P37
5,0,0.205,123,160.3019537,0,3,112.064297,112.064297,Gladys  
5,1,0.246666667,148,129.2534378,0,0,128.5930822,128.5930822,Gladys  
5,2,0.083333333,50,37.26520089,0,1,32.66215984,32.66215984,Gladys  
5,3,0.175,105,98.50222815,0,4,48.61709144,59.10133689,P37
5,4,0.095,57,38.41534524,0,3,11.19717967,26.89074167,P37
5,5,0.18,108,161.6085826,0,8,2.360173265,32.32171653,P37
5,6,0.18,108,70.13751166,0,3,37.01426998,42.08250699,P37
5,7,0.203333333,122,178.6451229,0,7,47.62448968,47.62448968,Gladys  
5,8,0.088333333,53,47.98215953,0,3,26.6095998,33.58751167,P37
5,9,0.163333333,98,61.33932241,0,2,29.4610826,49.07145793,P37
5,10,0.188333333,113,73.14841624,0,2,51.41298384,51.41298384,Gladys  
5,11,0.185,111,161.4925261,0,0,156.3575328,156.3575328,Gladys  
