blockNo,trialNo,prop,qty,startPrice,endPrice,step,oppBid,price,winner
0,0,0.158333333,95,72.7720646,0,5,0,36.3860323,P31
0,1,0.221666667,133,178.8495724,0,5,0,89.42478621,P29
0,2,0.24,144,79.93104585,0,3,0,55.9517321,P30
0,3,0.101666667,61,36.25128548,0,0,0,36.25128548,P31
0,4,0.191666667,115,99.9003909,0,4,0,59.94023454,P31
0,5,0.165,99,139.8588306,0,5,0,55.94353225,P30
0,6,0.088333333,53,48.81291344,0,4,0,29.28774807,P31
0,7,0.163333333,98,64.05297119,0,0,0,64.05297119,P30
0,8,0.21,126,162.062106,0,5,0,81.031053,P29
0,9,0.193333333,116,126.9743038,0,5,0,50.78972152,P30
0,10,0.095,57,40.18166813,0,1,0,36.16350132,P31
0,11,0.191666667,115,108.6108613,0,3,0,65.16651677,P29
1,0,0.216666667,130,70.73317538,0,0,0,70.73317538,P30
1,1,0.093333333,56,54.71174178,0,0,0,54.71174178,P31
1,2,0.226666667,136,118.5130911,0,3,0,82.95916375,P29
1,3,0.095,57,63.99906227,0,4,0,38.39943736,P31
1,4,0.245,147,108.3001336,0,3,0,75.81009349,P30
1,5,0.211666667,127,126.0866437,0,5,0,63.04332185,P29
1,6,0.106666667,64,87.52398651,0,7,0,17.5047973,P29
1,7,0.098333333,59,30.41354071,0,3,0,21.2894785,P29
1,8,0.201666667,121,140.9190836,0,5,0,70.45954181,P30
1,9,0.148333333,89,48.7595814,0,1,0,43.88362326,P31
1,10,0.213333333,128,110.2855663,0,5,0,55.14278313,P29
1,11,0.195,117,66.42572592,0,6,0,26.57029037,P30
2,0,0.115,69,57.57153675,0,0,0,51.81438307,P31
2,1,0.085,51,62.98311579,0,2,0,50.38649263,P30
2,2,0.183333333,110,102.1972626,0,4,0,61.31835758,P29
2,3,0.093333333,56,80.72008746,0,5,0,40.36004373,P31
2,4,0.175,105,99.30611337,0,2,0,69.51427936,P30
2,5,0.185,111,140.0559568,0,5,0,70.02797842,P31
2,6,0.211666667,127,182.2850322,0,7,0,54.68550966,P29
2,7,0.233333333,140,115.200329,0,5,0,57.6001645,P29
2,8,0.111666667,67,50.65524137,0,6,0,20.26209655,P29
2,9,0.098333333,59,31.09228383,0,3,0,21.76459868,P31
2,10,0.086666667,52,54.82391702,0,1,0,49.34152532,P29
2,11,0.226666667,136,203.2859961,0,8,0,40.65719923,P31
3,0,0.216666667,130,85.12629564,0,1,0,76.61366608,P31
3,1,0.175,105,85.29471624,0,2,0,68.23577299,P31
3,2,0.151666667,91,99.17300979,0,2,0,69.42110685,P30
3,3,0.216666667,130,99.40178789,0,1,0,79.52143031,P30
3,4,0.153333333,92,81.4673254,0,3,0,57.02712778,P31
3,5,0.145,87,72.65521295,0,3,0,50.85864907,P29
3,6,0.243333333,146,92.55580297,0,3,0,64.78906208,P30
3,7,0.103333333,62,34.19828196,0,3,0,23.93879737,P31
3,8,0.151666667,91,71.58778952,0,3,0,50.11145266,P29
3,9,0.208333333,125,77.11943042,0,3,0,53.98360129,P29
3,10,0.24,144,144.3786283,0,6,0,57.75145133,P29
3,11,0.14,84,92.12873642,0,6,0,36.85149457,P29
4,0,0.113333333,68,50.13082525,0,3,0,35.09157768,P30
4,1,0.118333333,71,64.70285073,0,4,0,38.82171044,P31
4,2,0.181666667,109,144.0842379,0,5,0,57.63369514,P29
4,3,0.226666667,136,164.0765271,0,5,0,82.03826357,P31
4,4,0.183333333,110,144.5746598,0,6,0,57.82986392,P29
4,5,0.1,60,68.65660726,0,5,0,34.32830363,P29
4,6,0.11,66,35.90609897,0,1,0,32.31548907,P30
4,7,0.083333333,50,35.11360739,0,0,0,31.60224665,P31
4,8,0.161666667,97,111.6135568,0,3,0,78.12948975,P30
4,9,0.208333333,125,155.3826756,0,4,0,93.22960535,P30
4,10,0.225,135,92.36224613,0,1,0,73.8897969,P31
4,11,0.235,141,190.0980418,0,5,0,95.0490209,P29
5,0,0.168333333,101,112.3693454,0,3,0,67.42160723,P30
5,1,0.223333333,134,105.3408237,0,3,0,73.73857656,P30
5,2,0.246666667,148,200.762349,0,7,0,60.22870471,P31
5,3,0.108333333,65,80.02710315,0,4,0,48.01626189,P29
5,4,0.16,96,92.02997838,0,3,0,64.42098487,P31
5,5,0.1,60,79.1197449,0,4,0,47.47184694,P29
5,6,0.245,147,111.8130516,0,2,0,89.45044131,P31
5,7,0.126666667,76,71.66754429,0,5,0,28.66701772,P29
5,8,0.116666667,70,80.28713992,0,8,0,16.05742798,P29
5,9,0.088333333,53,68.87942236,0,7,0,20.66382671,P31
5,10,0.241666667,145,118.2790629,0,3,0,70.96743775,P30
5,11,0.153333333,92,129.4668539,0,2,0,103.5734831,P29
