blockNo,trialNo,prop,qty,startPrice,endPrice,step,oppBid,price,winner
0,0,0.13833333333333334,83,63.35771839511004,0,0,0,63.35771839511004,Jim
0,1,0.23,138,135.42031875505765,0,3,0,94.79422312854035,Jim
0,2,0.105,63,64.6399606290279,0,4,0,38.783976377416735,Jim
0,3,0.24333333333333335,146,84.73170947586195,0,0,0,84.73170947586195,Fred
0,4,0.2,120,117.44629168830437,0,3,0,82.21240418181306,Fred
0,5,0.175,105,85.80010809495427,0,2,0,68.64008647596341,Fred
0,6,0.17,102,127.02396786334776,0,7,0,38.10719035900432,Jim
0,7,0.17666666666666667,106,130.4789554683147,0,5,0,65.23947773415735,Bob
0,8,0.16166666666666665,97,113.33739536174565,0,5,0,56.668697680872825,Bob
0,9,0.19333333333333333,116,60.875867456801714,0,0,0,54.788280711121544,Bob
0,10,0.22666666666666666,136,176.36133319063066,0,6,0,70.54453327625225,Bob
0,11,0.17166666666666666,103,126.48998434416677,0,9,0,12.648998434416669,Fred
1,0,0.18166666666666667,109,121.76963302879366,0,3,0,85.23874312015556,Fred
1,1,0.09333333333333334,56,31.185082249529508,0,1,0,28.066574024576557,Jim
1,2,0.13666666666666666,82,111.51998703975372,0,4,0,66.91199222385222,Bob
1,3,0.23333333333333334,140,156.87262330085989,0,3,0,109.81083631060191,Fred
1,4,0.24166666666666667,145,114.90661005528412,0,1,0,91.9252880442273,Jim
1,5,0.18,108,78.65839215611629,0,2,0,62.926713724893034,Jim
1,6,0.15666666666666668,94,63.432222393732154,0,3,0,44.402555675612504,Fred
1,7,0.18833333333333332,113,137.9198633846799,0,5,0,55.16794535387197,Jim
1,8,0.16666666666666666,100,116.21498033929771,0,4,0,58.107490169648855,Bob
1,9,0.205,123,73.96782367307651,0,6,0,29.587129469230604,Bob
1,10,0.11833333333333333,71,51.52439139357218,0,3,0,36.06707397550053,Bob
1,11,0.16833333333333333,101,81.83798712326725,0,2,0,57.28659098628708,Bob
2,0,0.15,90,49.534225666785645,0,0,0,49.534225666785645,Bob
2,1,0.22666666666666666,136,130.88872124634636,0,3,0,91.62210487244245,Jim
2,2,0.12833333333333333,77,114.83614054933082,0,4,0,68.9016843295985,Jim
2,3,0.21333333333333335,128,160.25807860799893,0,4,0,96.15484716479935,Fred
2,4,0.17833333333333334,107,144.50949161500603,0,4,0,86.70569496900362,Fred
2,5,0.20833333333333334,125,179.56256809964123,0,7,0,53.86877042989235,Jim
2,6,0.17833333333333334,107,54.09496103203412,0,0,0,48.68546492883071,Bob
2,7,0.19666666666666666,118,72.59266891908399,0,4,0,43.55560135145039,Fred
2,8,0.11166666666666666,67,63.23061174439276,0,4,0,37.938367046635655,Bob
2,9,0.19333333333333333,116,59.85309038608743,0,2,0,41.8971632702612,Bob
2,10,0.18166666666666667,109,57.53747883400244,0,5,0,28.76873941700122,Jim
2,11,0.19,114,124.05289380419661,0,5,0,62.02644690209831,Bob
3,0,0.19,114,73.74406692487607,0,1,0,66.36966023238845,Jim
