blockNo,trialNo,prop,qty,startPrice,endPrice,step,oppBid,price,winner
0,0,0.166666667,100,86.68530379,0,2,84.76571301,84.76571301,Gladys  
0,1,0.166666667,100,96.51055241,0,24,72.79978713,72.79978713,Gladys  
0,2,0.166666667,100,52.59760474,0,0,30.35063472,52.59760474,P24
0,3,0.166666667,100,99.58977668,0,32,67.58581714,67.58581714,Gladys  
0,4,0.166666667,100,92.55156371,0,13,79.68355601,79.68355601,Gladys  
0,5,0.166666667,100,115.8766197,0,5,109.837539,109.837539,Gladys  
0,6,0.166666667,100,78.93154411,0,31,22.3504435,54.46276543,P24
0,7,0.166666667,100,66.28370356,0,27,47.96850834,47.96850834,Gladys  
0,8,0.166666667,100,106.0789495,0,46,15.71234462,57.28263273,P24
0,9,0.166666667,100,102.2078438,0,31,70.15487221,70.15487221,Gladys  
0,10,0.166666667,100,102.5107215,0,48,46.1576039,53.3055752,P24
0,11,0.166666667,100,64.34433847,0,22,20.04064524,50.18858401,P24
1,0,0.166666667,100,141.2032508,0,64,29.62791377,49.4211378,P24
1,1,0.166666667,100,74.91555888,0,23,57.20402423,57.20402423,Gladys  
1,2,0.166666667,100,52.78591592,0,10,29.51251454,47.50732433,P24
1,3,0.166666667,100,68.42808709,0,40,1.596873322,41.05685225,P24
1,4,0.166666667,100,92.19657138,0,26,68.1862178,68.1862178,Gladys  
1,5,0.166666667,100,103.4420989,0,28,74.13985992,74.13985992,Gladys  
1,6,0.166666667,100,106.8233244,0,64,5.932139593,38.4563968,P24
1,7,0.166666667,100,92.30638866,0,65,24.40707836,32.30723603,P24
1,8,0.166666667,100,128.2512729,0,46,68.58612586,68.58612586,Gladys  
1,9,0.166666667,100,51.63037893,0,57,22.0335207,22.0335207,Gladys  
1,10,0.166666667,100,89.6586067,0,55,39.51888097,39.51888097,Gladys  
1,11,0.166666667,100,77.77758183,0,6,72.54177163,72.54177163,Gladys  
2,0,0.166666667,100,127.1290662,0,69,28.89156575,39.41001052,P24
2,1,0.166666667,100,64.1887377,0,47,16.84683845,34.02003098,P24
2,2,0.166666667,100,143.0444529,0,71,2.481996844,41.48289133,P24
2,3,0.166666667,100,61.40917397,0,29,43.14140913,43.14140913,Gladys  
2,4,0.166666667,100,97.24028626,0,34,63.68646313,63.68646313,Gladys  
2,5,0.166666667,100,145.9826213,0,76,4.401796779,35.0358291,P24
2,6,0.166666667,100,78.32052715,0,44,43.7603796,43.7603796,Gladys  
2,7,0.166666667,100,145.9616327,0,66,49.32659017,49.32659017,Gladys  
2,8,0.166666667,100,139.8767169,0,14,119.9189037,119.9189037,Gladys  
2,9,0.166666667,100,78.08691324,0,49,12.12767503,39.82432575,P24
2,10,0.166666667,100,101.5813699,0,32,68.86264939,68.86264939,Gladys  
2,11,0.166666667,100,129.9283776,0,25,97.37832251,97.37832251,Gladys  
3,0,0.166666667,100,76.30067156,0,37,47.87985702,47.87985702,Gladys  
3,1,0.166666667,100,103.5516329,0,46,55.00857975,55.00857975,Gladys  
3,2,0.166666667,100,93.60195721,0,56,17.6670762,41.18486117,P24
3,3,0.166666667,100,61.66483194,0,44,34.29784451,34.29784451,Gladys  
3,4,0.166666667,100,97.781096,0,59,31.52590611,40.09024936,P24
3,5,0.166666667,100,111.9909242,0,58,26.8401469,47.03618816,P24
3,6,0.166666667,100,91.70460271,0,32,62.22479331,62.22479331,Gladys  
3,7,0.166666667,100,99.94348463,0,37,62.50660947,62.50660947,Gladys  
3,8,0.166666667,100,119.4304175,0,47,62.85645665,62.85645665,Gladys  
3,9,0.166666667,100,115.9542118,0,7,107.3899636,107.3899636,Gladys  
3,10,0.166666667,100,54.41486025,0,3,52.68329442,52.68329442,Gladys  
3,11,0.166666667,100,79.19487768,0,53,36.01919394,37.22159251,P24
4,0,0.166666667,100,132.5114606,0,43,75.2658093,75.2658093,Gladys  
4,1,0.166666667,100,76.64630973,0,45,32.344647,42.15547035,P24
4,2,0.166666667,100,132.2255953,0,51,64.15279252,64.15279252,Gladys  
4,3,0.166666667,100,58.04916935,0,4,48.559137,55.72720258,P24
4,4,0.166666667,100,142.620827,0,41,82.95771033,82.95771033,Gladys  
4,5,0.166666667,100,72.53037255,0,16,60.63993406,60.63993406,Gladys  
4,6,0.166666667,100,91.06072123,0,50,17.22850037,45.53036062,P24
4,7,0.166666667,100,131.4912361,0,47,69.07465621,69.07465621,Gladys  
4,8,0.166666667,100,55.14713397,0,11,47.82295664,49.08094924,P24
4,9,0.166666667,100,115.3781338,0,36,73.45801037,73.45801037,Gladys  
4,10,0.166666667,100,111.2197321,0,46,13.44037169,58.94645804,P24
4,11,0.166666667,100,61.25221132,0,7,29.84949569,56.35203442,P24
5,0,0.166666667,100,71.63059897,0,32,48.68057792,48.68057792,Gladys  
5,1,0.166666667,100,133.971672,0,31,91.12193904,91.12193904,Gladys  
5,2,0.166666667,100,87.29164297,0,42,37.44808312,50.62915292,P24
5,3,0.166666667,100,117.2694027,0,15,98.79139736,98.79139736,Gladys  
5,4,0.166666667,100,129.5248111,0,37,81.11847954,81.11847954,Gladys  
5,5,0.166666667,100,76.04309313,0,47,27.37563237,40.30283936,P24
5,6,0.166666667,100,116.6060449,0,58,8.819153945,48.97453886,P24
5,7,0.166666667,100,138.9547696,0,23,106.6894189,106.6894189,Gladys  
5,8,0.166666667,100,56.98054434,0,12,30.47969427,50.14287902,P24
5,9,0.166666667,100,147.9180442,0,15,125.2339921,125.2339921,Gladys  
5,10,0.166666667,100,98.87019748,0,50,16.11357435,49.43509874,P24
5,11,0.166666667,100,55.58362217,0,0,21.30522824,55.02778595,P24
