blockNo,trialNo,prop,qty,startPrice,endPrice,step,oppBid,price,winner
0,0,0.166666667,100,53.65174363,0,15,12.43194695,45.06746465,P23
0,1,0.166666667,100,118.9480012,0,61,19.51683,45.20024047,P23
0,2,0.166666667,100,148.0539085,0,74,14.19791389,38.49401621,P23
0,3,0.166666667,100,103.9129017,0,17,85.90328151,85.90328151,Gladys  
0,4,0.166666667,100,148.5203171,0,75,11.7581609,37.13007928,P23
0,5,0.166666667,100,71.76462664,0,47,6.576351564,38.03525212,P23
0,6,0.166666667,100,94.32387585,0,49,47.90835992,47.90835992,Gladys  
0,7,0.166666667,100,112.5803886,0,57,26.11970962,47.28376322,P23
0,8,0.166666667,100,112.2539897,0,8,102.1566427,102.1566427,Gladys  
0,9,0.166666667,100,140.1122676,0,8,128.6292835,128.6292835,Gladys  
0,10,0.166666667,100,101.8133895,0,52,25.41026154,48.87042697,P23
0,11,0.166666667,100,106.0382446,0,38,64.75650128,64.75650128,Gladys  
1,0,0.166666667,100,60.13762219,0,19,28.67489463,48.71147398,P23
1,1,0.166666667,100,143.4415286,0,53,66.89173701,66.89173701,Gladys  
1,2,0.166666667,100,85.97759929,0,8,79.08675358,79.08675358,Gladys  
1,3,0.166666667,100,89.37151038,0,0,89.31883316,89.31883316,Gladys  
1,4,0.166666667,100,71.74173839,0,1,70.8985278,70.8985278,Gladys  
1,5,0.166666667,100,100.5599358,0,39,26.80268179,61.34156083,P23
1,6,0.166666667,100,111.3229307,0,43,59.95143344,63.45407051,P23
1,7,0.166666667,100,129.1527437,0,20,102.2337647,102.2337647,Gladys  
1,8,0.166666667,100,51.52601448,0,6,4.065741466,48.43445361,P23
1,9,0.166666667,100,72.3378686,0,14,62.15416954,62.15416954,Gladys  
1,10,0.166666667,100,128.869447,0,48,5.942019402,67.01211242,P23
1,11,0.166666667,100,100.3984589,0,41,58.53211148,58.53211148,Gladys  
2,0,0.166666667,100,120.7997918,0,27,87.8061161,87.8061161,Gladys  
