blockNo,trialNo,prop,qty,startPrice,endPrice,step,oppBid,price,winner
0,0,0.166666667,100,61.68536534,0,5,13.33419326,30.84268267,P22
0,1,0.166666667,100,96.9313712,0,7,28.28122084,28.28122084,Gladys  
0,2,0.166666667,100,52.16923607,0,3,23.32621733,36.51846525,P22
0,3,0.166666667,100,80.68274217,0,5,15.30418175,40.34137109,P22
0,4,0.166666667,100,137.1537998,0,4,69.33478697,69.33478697,Gladys  
0,5,0.166666667,100,105.9012213,0,6,28.05575592,42.36048853,P22
0,6,0.166666667,100,99.49094101,0,1,89.38891683,89.38891683,Gladys  
0,7,0.166666667,100,72.41105358,0,4,7.796038646,43.44663215,P22
0,8,0.166666667,100,62.88325325,0,1,6.480851184,50.3066026,P22
0,9,0.166666667,100,107.1433445,0,0,101.520071,101.520071,Gladys  
0,10,0.166666667,100,84.86103176,0,1,20.40748879,76.37492859,P22
0,11,0.166666667,100,111.3529784,0,8,16.5838033,16.5838033,Gladys  
1,0,0.166666667,100,64.8030881,0,6,20.40272748,20.40272748,Gladys  
1,1,0.166666667,100,66.18367988,0,4,1.369733375,39.71020793,P22
1,2,0.166666667,100,71.91793601,0,3,45.31218578,45.31218578,Gladys  
1,3,0.166666667,100,80.57911306,0,4,41.65859421,41.65859421,Gladys  
1,4,0.166666667,100,118.2459277,0,7,34.67842807,34.67842807,Gladys  
1,5,0.166666667,100,82.78496586,0,0,77.80165269,77.80165269,Gladys  
1,6,0.166666667,100,76.21857031,0,2,59.54018961,59.54018961,Gladys  
1,7,0.166666667,100,149.7419687,0,7,9.276053392,44.9225906,P22
1,8,0.166666667,100,126.0712493,0,6,3.220131467,50.42849971,P22
1,9,0.166666667,100,104.7298096,0,6,40.15431393,40.15431393,Gladys  
1,10,0.166666667,100,144.3939823,0,7,22.74161311,43.31819468,P22
1,11,0.166666667,100,105.7278535,0,5,28.74529828,52.86392677,P22
2,0,0.166666667,100,108.5099591,0,4,64.35621629,64.35621629,Gladys  
2,1,0.166666667,100,135.1958015,0,1,109.2728244,109.2728244,Gladys  
2,2,0.166666667,100,72.16207578,0,6,8.532742449,28.86483031,P22
2,3,0.166666667,100,140.2228381,0,3,86.67119904,86.67119904,Gladys  
2,4,0.166666667,100,92.46074692,0,0,89.8504144,89.8504144,Gladys  
2,5,0.166666667,100,124.3159653,0,6,0.708466096,37.29478958,P22
2,6,0.166666667,100,66.19488889,0,3,46.26999451,46.26999451,Gladys  
2,7,0.166666667,100,142.6562813,0,1,116.1562135,116.1562135,Gladys  
2,8,0.166666667,100,80.36670799,0,0,70.0174337,72.33003719,P22
2,9,0.166666667,100,112.998105,0,5,13.92964822,56.49905251,P22
2,10,0.166666667,100,126.4071445,0,6,35.45867533,50.56285779,P22
2,11,0.166666667,100,136.2426969,0,2,56.36810307,95.36988782,P22
3,0,0.166666667,100,107.9264089,0,6,14.54469669,43.17056357,P22
3,1,0.166666667,100,102.7758881,0,1,91.05197099,91.05197099,Gladys  
3,2,0.166666667,100,75.23527568,0,3,47.48357955,47.48357955,Gladys  
3,3,0.166666667,100,58.07434152,0,5,17.01995015,29.03717076,P22
3,4,0.166666667,100,146.2651901,0,7,13.09771595,43.87955704,P22
3,5,0.166666667,100,79.1287641,0,4,34.19701229,47.47725846,P22
