blockNo,trialNo,prop,qty,startPrice,endPrice,step,oppBid,price,winner
0,0,0.166666667,100,71.50693239,0,3,39.57578367,50.05485267,P28
0,1,0.166666667,100,128.5328902,0,1,109.6291976,109.6291976,Gladys  
0,2,0.166666667,100,58.59938739,0,2,26.04096139,46.87950991,P28
0,3,0.166666667,100,96.38790284,0,1,80.57948899,80.57948899,Gladys  
0,4,0.166666667,100,95.39867271,0,0,88.2470168,88.2470168,Gladys  
0,5,0.166666667,100,116.3250917,0,5,52.61680606,52.61680606,Gladys  
0,6,0.166666667,100,148.8257588,0,1,127.5118142,127.5118142,Gladys  
0,7,0.166666667,100,101.7304149,0,5,11.28317172,50.86520747,P28
0,8,0.166666667,100,92.89726752,0,5,27.9127836,46.44863376,P28
0,9,0.166666667,100,140.4071138,0,6,44.11037199,44.11037199,Gladys  
0,10,0.166666667,100,57.49893171,0,1,51.15198525,51.15198525,Gladys  
0,11,0.166666667,100,72.96078578,0,2,36.74843528,58.36862863,P28
1,0,0.166666667,100,54.4695539,0,1,13.19310862,49.02259851,P28
1,1,0.166666667,100,115.3255814,0,4,64.8830027,64.8830027,Gladys  
1,2,0.166666667,100,61.18261458,0,1,50.18918774,50.18918774,Gladys  
1,3,0.166666667,100,54.57529064,0,0,0.177593405,54.57529064,P28
1,4,0.166666667,100,80.59021291,0,3,39.15853406,56.41314904,P28
1,5,0.166666667,100,62.92244403,0,1,54.99840649,54.99840649,Gladys  
1,6,0.166666667,100,60.94357633,0,0,17.92119378,54.8492187,P28
1,7,0.166666667,100,83.70406412,0,4,22.67904906,50.22243847,P28
1,8,0.166666667,100,121.6083477,0,0,114.7192439,114.7192439,Gladys  
1,9,0.166666667,100,134.2341068,0,0,130.2286708,130.2286708,Gladys  
1,10,0.166666667,100,73.95971807,0,3,7.14801975,44.37583084,P28
1,11,0.166666667,100,92.32554614,0,6,33.86842589,36.93021846,P28
2,0,0.166666667,100,144.2357766,0,7,6.408863795,43.27073298,P28
2,1,0.166666667,100,128.7484942,0,5,61.68392796,61.68392796,Gladys  
2,2,0.166666667,100,127.1983777,0,6,7.189656776,50.87935108,P28
2,3,0.166666667,100,84.39720114,0,4,34.98777,50.63832068,P28
2,4,0.166666667,100,74.20748338,0,3,45.68704767,51.94523837,P28
2,5,0.166666667,100,86.66752845,0,4,31.54435799,43.33376423,P28
2,6,0.166666667,100,67.27209899,0,0,65.73079188,65.73079188,Gladys  
2,7,0.166666667,100,96.62651087,0,5,19.68562667,48.31325543,P28
2,8,0.166666667,100,134.1860099,0,6,2.137247981,53.67440395,P28
2,9,0.166666667,100,60.77270096,0,4,35.54705761,35.54705761,Gladys  
2,10,0.166666667,100,58.7841752,0,6,18.88823431,18.88823431,Gladys  
2,11,0.166666667,100,90.33229741,0,1,79.98496497,79.98496497,Gladys  
3,0,0.166666667,100,108.3312735,0,6,41.50512435,43.33250938,P28
3,1,0.166666667,100,132.7058365,0,5,11.71899791,53.08233459,P28
3,2,0.166666667,100,103.022018,0,4,57.94422005,57.94422005,Gladys  
3,3,0.166666667,100,54.62683915,0,0,1.731346014,49.16415524,P28
3,4,0.166666667,100,132.6708463,0,3,81.5863869,81.5863869,Gladys  
3,5,0.166666667,100,81.6748131,0,2,61.04682861,61.04682861,Gladys  
3,6,0.166666667,100,64.01303107,0,2,4.057428808,51.21042486,P28
3,7,0.166666667,100,59.90022732,0,0,32.60636829,53.91020459,P28
3,8,0.166666667,100,88.37572648,0,4,10.90795966,53.02543589,P28
3,9,0.166666667,100,147.524129,0,6,46.05058365,46.05058365,Gladys  
3,10,0.166666667,100,113.2030595,0,3,73.0766754,73.0766754,Gladys  
3,11,0.166666667,100,71.24411279,0,4,12.61933688,42.74646768,P28
4,0,0.166666667,100,68.94618268,0,2,7.147101929,48.26232788,P28
4,1,0.166666667,100,102.880592,0,0,97.23805214,97.23805214,Gladys  
4,2,0.166666667,100,67.53350822,0,3,17.82114204,47.27345575,P28
4,3,0.166666667,100,138.2583803,0,6,46.94440021,46.94440021,Gladys  
4,4,0.166666667,100,126.6051249,0,5,16.725451,50.64204994,P28
4,5,0.166666667,100,94.03192405,0,4,49.13467859,49.13467859,Gladys  
4,6,0.166666667,100,92.5178813,0,2,72.88221486,72.88221486,Gladys  
4,7,0.166666667,100,54.35496924,0,1,16.58289373,48.91947231,P28
4,8,0.166666667,100,149.6489526,0,6,28.01357216,59.85958105,P28
4,9,0.166666667,100,79.41226567,0,4,7.420749309,47.6473594,P28
4,10,0.166666667,100,142.0760749,0,7,33.88664812,42.62282248,P28
4,11,0.166666667,100,94.04386291,0,7,19.3893948,19.3893948,Gladys  
5,0,0.166666667,100,67.78360565,0,3,19.90300272,47.44852395,P28
5,1,0.166666667,100,58.61845597,0,1,2.705849106,46.89476478,P28
5,2,0.166666667,100,118.8922263,0,5,21.24065668,59.44611316,P28
5,3,0.166666667,100,93.93265424,0,5,34.1373638,46.96632712,P28
5,4,0.166666667,100,107.5021131,0,2,76.47421303,76.47421303,Gladys  
5,5,0.166666667,100,124.1593565,0,5,53.87627433,53.87627433,Gladys  
5,6,0.166666667,100,91.94966844,0,3,58.34063958,58.34063958,Gladys  
5,7,0.166666667,100,78.0162315,0,0,70.28358734,70.28358734,Gladys  
5,8,0.166666667,100,83.26920596,0,4,19.32026579,49.96152358,P28
5,9,0.166666667,100,50.85385111,0,0,18.4572785,50.85385111,P28
5,10,0.166666667,100,101.960212,0,0,101.5393975,101.5393975,Gladys  
5,11,0.166666667,100,129.3493028,0,7,20.24951683,38.80479083,P28
