blockNo,trialNo,prop,qty,startPrice,endPrice,step,oppBid,price,winner
0,0,0.166666667,100,142.0228505,0,34,0,93.73508131,P31
0,1,0.166666667,100,75.48618125,0,32,0,50.57574144,P33
0,2,0.166666667,100,65.4731089,0,20,0,52.37848712,P32
0,3,0.166666667,100,146.6884431,0,48,0,74.81110601,P31
0,4,0.166666667,100,88.792303,0,42,0,51.49953574,P32
0,5,0.166666667,100,117.1305439,0,50,0,58.56527197,P31
0,6,0.166666667,100,74.73762214,0,26,0,55.30584038,P32
0,7,0.166666667,100,65.81172036,0,31,0,45.41008705,P32
0,8,0.166666667,100,79.84112788,0,46,0,43.11420905,P33
0,9,0.166666667,100,143.2316799,0,71,0,41.53718716,P33
0,10,0.166666667,100,53.90181672,0,6,0,50.12868955,P33
0,11,0.166666667,100,136.333554,0,55,0,61.35009929,P33
1,0,0.166666667,100,136.823144,0,61,0,51.99279471,P31
1,1,0.166666667,100,128.9919891,0,57,0,54.17663543,P31
1,2,0.166666667,100,140.739878,0,51,0,68.96254023,P31
1,3,0.166666667,100,107.7362257,0,47,0,57.1001996,P32
1,4,0.166666667,100,97.63988075,0,44,0,54.67833322,P32
1,5,0.166666667,100,143.4631754,0,61,0,55.95063839,P32
1,6,0.166666667,100,51.92677753,0,6,0,48.81117088,P31
1,7,0.166666667,100,115.6303691,0,55,0,52.0336661,P33
1,8,0.166666667,100,122.7001699,0,62,0,45.39906287,P33
1,9,0.166666667,100,58.6210127,0,25,0,43.3795494,P32
1,10,0.166666667,100,124.2134163,0,54,0,57.13817152,P33
1,11,0.166666667,100,148.8248345,0,42,0,86.318404,P33
2,0,0.166666667,100,121.5946691,0,49,0,62.01328126,P31
2,1,0.166666667,100,133.725296,0,56,0,57.50187726,P31
2,2,0.166666667,100,90.80835596,0,41,0,53.57693002,P31
2,3,0.166666667,100,122.27375,0,47,0,64.80508749,P31
2,4,0.166666667,100,136.4289181,0,62,0,51.84298889,P32
2,5,0.166666667,100,118.8921026,0,54,0,54.69036718,P32
2,6,0.166666667,100,87.97594523,0,37,0,55.4248455,P32
2,7,0.166666667,100,65.81036382,0,7,0,61.20363835,P32
2,8,0.166666667,100,88.07365447,0,35,0,57.24787541,P33
2,9,0.166666667,100,73.39694963,0,38,0,45.50610877,P33
2,10,0.166666667,100,59.9984825,0,28,0,42.59892257,P33
2,11,0.166666667,100,79.27977908,0,0,0,79.27977908,P33
3,0,0.166666667,100,133.5715549,0,42,0,76.13578631,P31
3,1,0.166666667,100,64.76446813,0,12,0,56.34508728,P33
3,2,0.166666667,100,54.44618214,0,0,0,54.44618214,P31
3,3,0.166666667,100,67.82260484,0,1,0,67.14437879,P31
3,4,0.166666667,100,93.62832791,0,34,0,61.79469642,P32
3,5,0.166666667,100,107.2049927,0,51,0,52.53044641,P32
3,6,0.166666667,100,134.0706731,0,57,0,57.65038945,P32
3,7,0.166666667,100,118.4420369,0,58,0,49.74565549,P33
3,8,0.166666667,100,54.69561634,0,12,0,47.58518621,P31
3,9,0.166666667,100,54.35574211,0,17,0,45.11526595,P33
3,10,0.166666667,100,61.04430285,0,19,0,48.83544228,P32
3,11,0.166666667,100,113.8563949,0,17,0,94.50080778,P33
4,0,0.166666667,100,139.3714443,0,59,0,57.14229215,P31
4,1,0.166666667,100,72.91831592,0,19,0,58.33465274,P31
4,2,0.166666667,100,135.2767741,0,47,0,71.69669025,P32
4,3,0.166666667,100,89.60706993,0,29,0,63.62101965,P31
4,4,0.166666667,100,85.04830544,0,36,0,54.43091548,P32
4,5,0.166666667,100,117.7628342,0,52,0,56.5261604,P32
4,6,0.166666667,100,110.9813345,0,47,0,58.82010731,P31
4,7,0.166666667,100,147.3385815,0,64,0,51.56850353,P33
4,8,0.166666667,100,94.40634841,0,47,0,50.03536466,P33
4,9,0.166666667,100,56.66525772,0,11,0,50.43207937,P33
4,10,0.166666667,100,63.31652885,0,14,0,53.81904952,P33
4,11,0.166666667,100,116.0567905,0,62,0,42.94101249,P33
5,0,0.166666667,100,60.07740162,0,12,0,52.86811343,P33
5,1,0.166666667,100,125.9694547,0,49,0,64.24442189,P32
5,2,0.166666667,100,68.80416346,0,17,0,56.41941404,P32
5,3,0.166666667,100,137.6495975,0,50,0,68.82479876,P31
5,4,0.166666667,100,92.1902617,0,42,0,53.47035178,P32
5,5,0.166666667,100,135.2789122,0,53,0,62.22829959,P31
5,6,0.166666667,100,93.14785145,0,44,0,51.2313183,P31
5,7,0.166666667,100,70.21874355,0,26,0,51.25968279,P31
5,8,0.166666667,100,100.6837601,0,47,0,53.36239286,P33
5,9,0.166666667,100,54.31720871,0,9,0,49.42865992,P33
5,10,0.166666667,100,138.2014499,0,61,0,53.89856548,P32
5,11,0.166666667,100,94.36269117,0,9,0,85.87004896,P33
