blockNo,trialNo,prop,qty,startPrice,endPrice,step,oppBid,price,winner
0,0,0.166666667,100,146.2373572,0,6,0,58.49494288,P35
0,1,0.166666667,100,98.68353295,0,4,0,59.21011977,P36
0,2,0.166666667,100,54.05470904,0,0,0,54.05470904,P34
0,3,0.166666667,100,75.10704172,0,0,0,67.59633755,P34
0,4,0.166666667,100,80.65363546,0,2,0,64.52290837,P34
0,5,0.166666667,100,145.7916288,0,5,0,72.89581441,P36
0,6,0.166666667,100,94.50761017,0,5,0,47.25380509,P34
0,7,0.166666667,100,124.8045937,0,5,0,62.40229686,P36
0,8,0.166666667,100,128.8975274,0,6,0,51.55901094,P35
0,9,0.166666667,100,74.68225712,0,5,0,37.34112856,P35
0,10,0.166666667,100,75.02648572,0,4,0,45.01589143,P36
0,11,0.166666667,100,134.4652141,0,3,0,94.1256499,P35
1,0,0.166666667,100,122.598076,0,6,0,49.0392304,P34
1,1,0.166666667,100,65.92823323,0,3,0,46.14976326,P34
1,2,0.166666667,100,124.4562034,0,4,0,62.22810169,P35
1,3,0.166666667,100,135.5042788,0,6,0,54.20171153,P35
1,4,0.166666667,100,123.5744457,0,5,0,61.78722284,P36
1,5,0.166666667,100,99.86372665,0,4,0,59.91823599,P34
1,6,0.166666667,100,141.2375858,0,6,0,56.49503434,P36
1,7,0.166666667,100,93.09493984,0,4,0,55.8569639,P36
1,8,0.166666667,100,139.0807776,0,6,0,55.63231105,P34
1,9,0.166666667,100,88.48453413,0,4,0,53.09072048,P36
1,10,0.166666667,100,82.74983353,0,4,0,49.64990012,P35
1,11,0.166666667,100,67.33486415,0,0,0,67.33486415,P35
2,0,0.166666667,100,144.6287056,0,5,0,72.31435278,P34
2,1,0.166666667,100,75.44915788,0,4,0,45.26949473,P36
2,2,0.166666667,100,120.4834342,0,5,0,48.19337368,P36
2,3,0.166666667,100,56.489688,0,0,0,50.8407192,P34
2,4,0.166666667,100,120.5979982,0,4,0,72.35879894,P36
2,5,0.166666667,100,140.4566428,0,5,0,56.18265711,P36
2,6,0.166666667,100,88.1704005,0,4,0,52.9022403,P34
2,7,0.166666667,100,74.29044053,0,3,0,52.00330837,P35
2,8,0.166666667,100,131.733604,0,5,0,65.86680198,P35
2,9,0.166666667,100,104.4245868,0,5,0,52.21229342,P35
2,10,0.166666667,100,83.04271712,0,6,0,33.21708685,P35
2,11,0.166666667,100,72.96795311,0,4,0,43.78077187,P35
3,0,0.166666667,100,127.0284279,0,5,0,63.51421393,P34
3,1,0.166666667,100,110.9296896,0,5,0,55.4648448,P34
3,2,0.166666667,100,147.4491276,0,6,0,58.97965104,P36
3,3,0.166666667,100,86.61849476,0,5,0,43.30924738,P35
3,4,0.166666667,100,73.51532316,0,4,0,44.1091939,P35
3,5,0.166666667,100,88.59913339,0,1,0,79.73922005,P34
3,6,0.166666667,100,89.87172633,0,5,0,44.93586316,P36
3,7,0.166666667,100,115.8940565,0,5,0,57.94702826,P36
3,8,0.166666667,100,101.9264985,0,5,0,50.96324925,P34
3,9,0.166666667,100,119.580439,0,5,0,59.79021951,P35
3,10,0.166666667,100,55.42098047,0,1,0,49.87888242,P36
3,11,0.166666667,100,64.09812798,0,1,0,57.68831518,P35
4,0,0.166666667,100,86.28170726,0,4,0,51.76902436,P34
4,1,0.166666667,100,102.297411,0,5,0,51.1487055,P34
4,2,0.166666667,100,122.2505305,0,5,0,61.12526525,P36
4,3,0.166666667,100,92.54600415,0,4,0,55.52760249,P34
4,4,0.166666667,100,142.8468595,0,7,0,42.85405785,P35
4,5,0.166666667,100,77.31095033,0,4,0,46.3865702,P36
4,6,0.166666667,100,72.49780696,0,4,0,43.49868417,P35
4,7,0.166666667,100,140.921007,0,7,0,42.27630211,P35
4,8,0.166666667,100,147.5615674,0,5,0,73.78078372,P34
4,9,0.166666667,100,98.76357848,0,4,0,59.25814709,P35
4,10,0.166666667,100,96.98527409,0,4,0,58.19116445,P35
4,11,0.166666667,100,68.6846434,0,2,0,54.94771472,P36
5,0,0.166666667,100,85.35327728,0,4,0,51.21196637,P36
5,1,0.166666667,100,126.6428161,0,4,0,75.98568963,P34
5,2,0.166666667,100,57.86617266,0,0,0,52.0795554,P36
5,3,0.166666667,100,98.40427236,0,4,0,59.04256342,P36
5,4,0.166666667,100,61.50664523,0,1,0,49.20531619,P34
5,5,0.166666667,100,69.27170247,0,3,0,48.49019173,P34
5,6,0.166666667,100,62.85915689,0,1,0,50.28732551,P36
5,7,0.166666667,100,105.0732194,0,4,0,52.53660969,P35
5,8,0.166666667,100,135.1247881,0,6,0,54.04991524,P34
5,9,0.166666667,100,63.57878437,0,2,0,44.50514906,P35
5,10,0.166666667,100,58.56688058,0,2,0,46.85350447,P35
5,11,0.166666667,100,98.23180974,0,5,0,49.11590487,P35
